+47.1	+37.4	0.9	598.5
1.1	32	11	10	160	-956	502	74	29	-33	55
2.1	32	11	10	160	-814	502	-14	25	-33	78
3.1	32	11	10	160	-653	502	74	29	-34	55
4.1	32	11	10	160	-516	502	-14	23	-34	78
5.1	32	11	10	160	-352	502	74	28	-33	55
6.1	32	11	10	160	-218	502	-14	34	-36	78
7.1	32	11	10	160	-50	477	74	24	-37	55
8.1	32	11	10	160	70	502	-14	26	-39	78
9.1	32	11	10	160	241	502	74	27	-37	55
10.1	32	11	10	160	368	502	-14	24	-36	78
11.1	32	11	10	160	543	502	74	26	-37	55
12.1	32	11	10	160	665	502	-14	26	-38	78
13.1	32	11	10	160	845	502	74	26	-36	55
14.1	32	11	10	160	962	502	-14	24	-35	78
15.2	32	11	10	160	-977	170	374	24	-25	-49
16.2	32	11	10	160	-816	162	286	23	-26	-31
17.2	32	11	10	160	-675	170	374	23	-27	-49
18.2	32	11	10	160	-518	162	286	18	-27	-31
19.2	32	11	10	160	-373	170	374	21	-33	-49
19.3	32	11	10	160	-373	170	485	18	-38	-49
20.2	32	11	10	160	-220	162	286	17	-34	-31
21.2	32	11	10	160	220	162	286	12	-32	-31
22.2	32	11	10	160	373	170	374	10	-30	-49
23.2	32	11	10	160	518	162	286	7	-32	-31
24.2	32	11	10	160	675	170	374	4	-31	-49
25.2	32	11	10	160	816	162	286	1	-29	-31
26.2	32	11	10	160	977	170	374	0	-30	-49
27.1	32	11	10	160	-955	-159	74	14	-31	66
28.1	32	11	10	160	-814	-159	-14	19	-32	64
29.1	32	11	10	160	-653	-159	74	17	-32	66
30.1	32	11	10	160	-516	-159	-14	3	-30	64
31.1	32	11	10	160	-352	-159	74	19	-33	66
32.1	32	11	10	160	-218	-159	-14	21	-34	64
33.1	32	11	10	160	-50	-136	74	20	-35	66
34.1	32	11	10	160	70	-159	-14	20	-34	64
35.1	32	11	10	160	241	-159	74	21	-36	66
36.1	32	11	10	160	368	-159	-14	22	-35	64
37.1	32	11	10	160	501	-159	74	-20	-36	66
38.1	32	11	10	160	666	-159	-14	24	-36	64
39.1	32	11	10	160	845	-159	74	24	-34	66
40.1	32	11	10	160	963	-159	-14	23	-34	64
107.2	16	19	18	560	-1290	714	374	2	-25	35
108.2	16	19	18	560	-813	750	286	-4	-20	45
109.2	16	19	18	560	-271	760	374	4	-33	35
110.2	16	19	18	560	271	750	286	19	-24	45
111.2	16	19	18	560	813	760	374	14	-34	35
112.2	16	19	18	560	1300	705	286	17	-21	45
113.1	16	19	18	560	-1298	429	-14	13	-26	58
114.1	16	19	18	560	1329	429	74	41	-27	62
115.2	16	19	18	560	-1300	135	286	8	-23	-15
116.2	16	19	18	560	1300	135	286	5	-28	-79
117.1	16	19	18	560	-1298	-142	-14	-12	-23	99
118.1	16	19	18	560	1329	-142	74	30	-31	67
119.2	16	19	18	560	-1290	-426	374	-13	-20	108
120.2	16	19	18	560	-813	-483	286	-11	-14	65
121.2	16	19	18	560	-271	-475	374	-7	-25	108
122.2	16	19	18	560	271	-483	286	8	-17	65
123.2	16	19	18	560	813	-475	374	15	-25	108
124.2	16	19	18	560	1300	-435	286	25	-17	65
