0	1	92.1263	15.8346
0	2	90.6245	15.9093
0	3	92.3627	16.0374
0	4	92.9024	16.118
0	5	93.0058	15.7568
0	6	95.0016	15.7059
0	7	96.8881	15.989
0	8	92.9441	16.331
0	9	92.2395	16.237
0	10	95.1052	16.4256
0	11	89.5337	16.242
0	12	94.093	16.6396
0	13	91.9529	16.5539
0	14	90.0852	16.6687
0	15	90.8774	16.4892
0	16	91.4438	16.5999
0	17	93.1856	16.5495
0	18	95.7444	16.5952
0	19	91.8215	16.6432
0	20	92.2468	16.747
0	21	93.5195	16.8218
0	22	96.7283	16.7646
0	23	94.3239	16.5206
0	24	91.303	16.3522
0	25	90.557	16.6341
0	26	90.1808	16.5304
0	27	90.0361	16.922
0	28	93.2633	16.5751
0	29	90.0551	16.2383
0	30	90.1133	15.9279
0	31	90.6417	15.4795
1	1	76.0711	-17.5938
1	2	72.3512	-16.9827
1	3	75.0756	-17.5996
1	4	72.3462	-17.2621
1	5	75.4904	-17.9496
1	6	70.8587	-17.3535
1	7	69.5518	-16.696
1	8	73.8756	-17.3123
1	9	76.3827	-17.5112
1	10	76.3602	-17.7949
1	11	77.6807	-17.4652
1	12	75.1502	-16.8651
1	13	77.2999	-17.2127
1	14	74.1069	-16.6602
1	15	77.2542	-17.1524
1	16	76.9584	-17.3563
1	17	79.6828	-18.027
1	18	75.2755	-16.912
1	19	74.8896	-17.4919
1	20	76.2309	-16.9974
1	21	75.3477	-17.349
1	22	78.9156	-17.2917
1	23	74.3094	-16.9582
1	24	82.1591	-17.3728
1	25	79.3654	-16.5302
1	26	78.301	-16.9467
1	27	76.3989	-17.2843
1	28	78.192	-17.1826
1	29	79.4024	-16.5038
1	30	82.5206	-16.6927
1	31	75.7394	-14.7287
2	1	59.9271	17.1421
2	2	63.1142	16.9345
2	3	61.3824	17.0222
2	4	60.6506	17.4912
2	5	63.4958	17.3094
2	6	65.3224	17.43
2	7	67.3654	17.4531
2	8	55.0625	17.8917
2	9	56.1432	17.8927
2	10	58.4018	17.7931
2	11	56.6807	17.5006
2	12	56.8724	17.3445
2	13	55.4997	17.479
2	14	56.8829	17.3843
2	15	57.1126	17.0394
2	16	61.7991	17.6972
2	17	62.7047	17.2572
2	18	61.0359	17.6183
2	19	63.5616	17.9238
2	20	63.9591	17.5769
2	21	63.7619	17.2483
2	22	63.2988	17.0515
2	23	64.2004	17.3505
2	24	59.4877	17.6546
2	25	59.4877	17.6546
2	26	59.2041	17.58
2	27	59.2041	17.58
2	28	59.7802	17.8554
2	29	60.8036	17.2812
2	30	60.3953	16.7562
2	31	59.9148	16.0469
3	1	94.6861	16.5503
3	2	93.6173	16.8625
3	3	94.1938	16.8075
3	4	92.2012	16.5576
3	5	94.225	16.5392
3	6	95.4629	16.9027
3	7	96.1165	16.691
3	8	91.6873	17.1133
3	9	90.0665	16.4563
3	10	90.398	16.9701
3	11	91.1144	17.4087
3	12	93.1254	17.5931
3	13	90.9071	17.6493
3	14	87.857	17.2691
3	15	89.8677	17.3545
3	16	91.8156	17.1939
3	17	90.733	17.7
3	18	90.5204	17.2561
3	19	92.9394	17.3531
3	20	92.8835	17.3808
3	21	93.1092	17.139
3	22	93.0787	16.8318
3	23	94.0438	17.729
3	24	90.0037	17.5597
3	25	89.857	17.7843
3	26	90.0877	17.251
3	27	88.3394	16.9117
3	28	89.7413	15.4759
3	29	89.1615	15.6127
3	30	89.5362	14.8859
3	31	89.9303	14.1466
4	1	62.4923	17.5483
4	2	62.8695	16.7141
4	3	63.4745	17.356
4	4	65.4918	18.225
4	5	65.2401	17.5941
4	6	65.1415	17.2959
4	7	64.3226	16.6496
4	8	64.3226	16.6496
4	9	57.9111	17.5694
4	10	58.521	17.6531
4	11	58.0085	16.2744
4	12	57.0842	17.3722
4	13	57.0842	17.3722
4	14	58.6361	17.2549
4	15	57.9569	17.0932
4	16	60.8344	16.4491
4	17	61.5708	16.0395
4	18	62.7835	16.5147
4	19	62.8569	16.7801
4	20	61.7959	17.466
4	21	63.8823	17.7911
4	22	61.8888	17.8532
4	23	62.784	16.9909
4	24	58.0192	17.4705
4	25	58.2482	17.3706
4	26	58.1781	17.0118
4	27	56.9311	16.9163
4	28	55.4415	17.3667
4	29	57.7702	16.8203
4	30	59.1796	16.6378
4	31	58.1624	15.9693
5	1	43.3039	-17.8452
5	2	42.1485	-17.9656
5	3	40.3803	-17.4363
5	4	43.7456	-17.3721
5	5	40.1106	-16.6688
5	6	42.968	-17.0643
5	7	41.2464	-17.115
5	8	45.6781	-17.6038
5	9	51.33	-18.3843
5	10	43.9622	-18.2598
5	11	48.8134	-17.9105
5	12	51.2882	-17.3435
5	13	46.4967	-16.064
5	14	50.644	-17.1196
5	15	49.0869	-16.8039
5	16	45.2989	-16.9929
5	17	41.9436	-16.9687
5	18	43.5737	-17.4495
5	19	46.3677	-17.7851
5	20	41.9263	-17.1503
5	21	47.4215	-17.7884
5	22	40.0765	-17.012
5	23	46.3152	-17.2223
5	24	48.7647	-17.1301
5	25	46.7201	-17.2829
5	26	44.3895	-16.9353
5	27	47.59	-16.5663
5	28	50.1946	-16.1457
5	29	47.4356	-17.5156
5	30	46.8149	-16.3439
5	31	42.9166	-14.7606
6	1	0.772447	15.2261
6	2	2.43679	16.0888
6	3	0.467234	15.1371
6	4	4.31964	16.4787
6	5	2.14968	13.3852
6	6	5.36644	16.8055
6	7	6.83936	16.167
6	8	-2.21999	14.8184
6	9	-0.859108	14.372
6	10	-0.795736	14.1072
6	11	-0.728733	17.7503
6	12	-2.89631	14.9648
