1	21.47	0.0
2	21.06	0.0
3	21.25	0.0
4	20.85	0.0
5	21.00	0.0
6	20.61	0.0
7	20.79	0.0
8	20.47	0.0
9	20.73	0.0
10	20.40	0.0
11	20.70	0.0
12	20.39	0.0
13	20.71	0.0
14	20.48	0.0
15	22.40	0.0
16	21.97	0.0
17	22.16	0.0
18	21.70	0.0
19	21.90	0.0
20	22.26	0.0
21	21.52	0.0
22	21.39	0.0
23	21.69	0.0
24	21.37	0.0
25	21.68	0.0
26	21.38	0.0
27	21.65	0.0
28	21.51	0.0
29	21.06	0.0
30	21.19	0.0
31	20.82	0.0
32	21.00	0.0
33	20.60	0.0
34	20.80	0.0
35	20.47	0.0
36	20.72	0.0
37	20.39	0.0
38	20.68	0.0
39	20.40	0.0
40	20.73	0.0
41	20.41	0.0
42	22.82	0.0
43	22.01	0.0
44	21.98	0.0
45	21.53	0.0
46	21.78	0.0
47	21.35	0.0
48	21.40	0.0
49	20.69	0.0
50	22.27	0.0
51	21.39	0.0
52	21.52	0.0
53	20.69	0.0
54	22.53	0.0
55	22.04	0.0
56	21.99	0.0
57	21.54	0.0
58	21.69	0.0
59	21.48	0.0
