Chamber 6 ( 33.1) strip 10 offset  -1.0 time bins, direction 1
Chamber 6 ( 33.1) strip 11 offset   1.0 time bins, direction 1
Chamber 6 ( 33.1) strip 12 offset -13.0 time bins, direction 1
Chamber 6 ( 33.1) strip 13 offset  -9.0 time bins, direction 1
Chamber 6 ( 33.1) strip 14 offset   5.0 time bins, direction 1
Chamber 6 ( 33.1) strip 15 offset -17.0 time bins, direction 1
Chamber 6 ( 33.1) strip 16 offset  -9.0 time bins, direction 1
Chamber 6 ( 33.1) strip 17 offset   3.0 time bins, direction 1
Chamber 6 ( 33.1) strip 18 offset  -3.0 time bins, direction 1
Chamber 6 ( 33.1) strip 19 offset  21.0 time bins, direction 1
Chamber 6 ( 33.1) strip 20 offset   3.0 time bins, direction 1
Chamber 6 ( 33.1) strip 21 offset  15.0 time bins, direction 1
Chamber 6 ( 33.1) strip 22 offset   9.0 time bins, direction 1
Chamber 6 ( 33.1) strip 23 offset  11.0 time bins, direction 1
Chamber 6 ( 33.1) strip 24 offset -25.0 time bins, direction 1
Chamber 6 ( 33.1) strip 25 offset -43.0 time bins, direction 1
Chamber 6 ( 33.1) strip 26 offset -23.0 time bins, direction 1
Chamber 6 ( 33.1) strip 27 offset -35.0 time bins, direction 1
Chamber 6 ( 33.1) strip 28 offset -31.0 time bins, direction 1
Chamber 6 ( 33.1) strip 29 offset -33.0 time bins, direction 1
Chamber 6 ( 33.1) strip 30 offset -45.0 time bins, direction 1
Chamber 6 ( 33.1) strip 31 offset -33.0 time bins, direction 1
Chamber 7 ( 30.1) strip 1 offset  11.0 time bins, direction -1
Chamber 7 ( 30.1) strip 2 offset  19.0 time bins, direction -1
Chamber 7 ( 30.1) strip 3 offset  11.0 time bins, direction -1
Chamber 7 ( 30.1) strip 4 offset  17.0 time bins, direction -1
Chamber 7 ( 30.1) strip 5 offset  21.0 time bins, direction -1
Chamber 7 ( 30.1) strip 6 offset  25.0 time bins, direction -1
Chamber 7 ( 30.1) strip 7 offset  27.0 time bins, direction -1
Chamber 7 ( 30.1) strip 8 offset -11.0 time bins, direction -1
Chamber 7 ( 30.1) strip 9 offset  -1.0 time bins, direction -1
Chamber 7 ( 30.1) strip 10 offset  -5.0 time bins, direction -1
Chamber 7 ( 30.1) strip 11 offset  -5.0 time bins, direction -1
Chamber 7 ( 30.1) strip 12 offset  -7.0 time bins, direction -1
Chamber 7 ( 30.1) strip 13 offset -11.0 time bins, direction -1
Chamber 7 ( 30.1) strip 14 offset  -7.0 time bins, direction -1
Chamber 7 ( 30.1) strip 15 offset   1.0 time bins, direction -1
Chamber 7 ( 30.1) strip 16 offset   9.0 time bins, direction -1
Chamber 7 ( 30.1) strip 17 offset  13.0 time bins, direction -1
Chamber 7 ( 30.1) strip 18 offset  13.0 time bins, direction -1
Chamber 7 ( 30.1) strip 19 offset  21.0 time bins, direction -1
Chamber 7 ( 30.1) strip 20 offset  23.0 time bins, direction -1
Chamber 7 ( 30.1) strip 21 offset   5.0 time bins, direction -1
Chamber 7 ( 30.1) strip 22 offset  41.0 time bins, direction -1
Chamber 7 ( 30.1) strip 23 offset  35.0 time bins, direction -1
Chamber 7 ( 30.1) strip 24 offset   1.0 time bins, direction -1
Chamber 7 ( 30.1) strip 25 offset -17.0 time bins, direction -1
Chamber 7 ( 30.1) strip 26 offset   1.0 time bins, direction -1
Chamber 7 ( 30.1) strip 27 offset  -7.0 time bins, direction -1
Chamber 7 ( 30.1) strip 28 offset   5.0 time bins, direction -1
Chamber 7 ( 30.1) strip 29 offset -17.0 time bins, direction -1
Chamber 7 ( 30.1) strip 30 offset -27.0 time bins, direction -1
Chamber 7 ( 30.1) strip 31 offset -23.0 time bins, direction -1
Chamber 8 (  5.1) strip 1 offset  19.0 time bins, direction 1
Chamber 8 (  5.1) strip 2 offset  19.0 time bins, direction 1
Chamber 8 (  5.1) strip 3 offset  15.0 time bins, direction 1
Chamber 8 (  5.1) strip 4 offset  23.0 time bins, direction 1
Chamber 8 (  5.1) strip 5 offset  25.0 time bins, direction 1
Chamber 8 (  5.1) strip 6 offset  21.0 time bins, direction 1
Chamber 8 (  5.1) strip 7 offset  25.0 time bins, direction 1
Chamber 8 (  5.1) strip 8 offset  -1.0 time bins, direction 1
Chamber 8 (  5.1) strip 9 offset -17.0 time bins, direction 1
Chamber 8 (  5.1) strip 10 offset -25.0 time bins, direction 1
Chamber 8 (  5.1) strip 11 offset   1.0 time bins, direction 1
Chamber 8 (  5.1) strip 12 offset   5.0 time bins, direction 1
Chamber 8 (  5.1) strip 13 offset  13.0 time bins, direction 1
Chamber 8 (  5.1) strip 14 offset  -9.0 time bins, direction 1
Chamber 8 (  5.1) strip 15 offset   5.0 time bins, direction 1
Chamber 8 (  5.1) strip 16 offset  11.0 time bins, direction 1
Chamber 8 (  5.1) strip 17 offset  15.0 time bins, direction 1
Chamber 8 (  5.1) strip 18 offset  29.0 time bins, direction 1
Chamber 8 (  5.1) strip 19 offset  17.0 time bins, direction 1
Chamber 8 (  5.1) strip 20 offset   9.0 time bins, direction 1
Chamber 8 (  5.1) strip 21 offset  -7.0 time bins, direction 1
Chamber 8 (  5.1) strip 22 offset  27.0 time bins, direction 1
Chamber 8 (  5.1) strip 23 offset  25.0 time bins, direction 1
Chamber 8 (  5.1) strip 24 offset   1.0 time bins, direction 1
Chamber 8 (  5.1) strip 25 offset   7.0 time bins, direction 1
Chamber 8 (  5.1) strip 26 offset  -3.0 time bins, direction 1
Chamber 8 (  5.1) strip 27 offset  -3.0 time bins, direction 1
Chamber 8 (  5.1) strip 28 offset   7.0 time bins, direction 1
Chamber 8 (  5.1) strip 29 offset  -5.0 time bins, direction 1
Chamber 8 (  5.1) strip 30 offset -11.0 time bins, direction 1
Chamber 8 (  5.1) strip 31 offset  21.0 time bins, direction 1
Chamber 9 ( 19.3) strip 1 offset  23.0 time bins, direction 1
Chamber 9 ( 19.3) strip 2 offset  21.0 time bins, direction 1
Chamber 9 ( 19.3) strip 3 offset  27.0 time bins, direction 1
Chamber 9 ( 19.3) strip 4 offset  19.0 time bins, direction 1
Chamber 9 ( 19.3) strip 5 offset  31.0 time bins, direction 1
Chamber 9 ( 19.3) strip 6 offset  35.0 time bins, direction 1
Chamber 9 ( 19.3) strip 7 offset  37.0 time bins, direction 1
Chamber 9 ( 19.3) strip 8 offset -17.0 time bins, direction 1
Chamber 9 ( 19.3) strip 9 offset -19.0 time bins, direction 1
Chamber 9 ( 19.3) strip 10 offset -19.0 time bins, direction 1
Chamber 9 ( 19.3) strip 11 offset -15.0 time bins, direction 1
Chamber 9 ( 19.3) strip 12 offset -15.0 time bins, direction 1
Chamber 9 ( 19.3) strip 13 offset -19.0 time bins, direction 1
Chamber 9 ( 19.3) strip 14 offset -15.0 time bins, direction 1
Chamber 9 ( 19.3) strip 15 offset  -7.0 time bins, direction 1
Chamber 9 ( 19.3) strip 16 offset   9.0 time bins, direction 1
Chamber 9 ( 19.3) strip 17 offset  15.0 time bins, direction 1
Chamber 9 ( 19.3) strip 18 offset   9.0 time bins, direction 1
Chamber 9 ( 19.3) strip 19 offset   5.0 time bins, direction 1
Chamber 9 ( 19.3) strip 20 offset   9.0 time bins, direction 1
Chamber 9 ( 19.3) strip 21 offset  -3.0 time bins, direction 1
Chamber 9 ( 19.3) strip 22 offset  13.0 time bins, direction 1
Chamber 9 ( 19.3) strip 23 offset  17.0 time bins, direction 1
Chamber 9 ( 19.3) strip 24 offset  -7.0 time bins, direction 1
Chamber 9 ( 19.3) strip 25 offset  -7.0 time bins, direction 1
Chamber 9 ( 19.3) strip 26 offset  -3.0 time bins, direction 1
Chamber 9 ( 19.3) strip 27 offset  -7.0 time bins, direction 1
Chamber 9 ( 19.3) strip 28 offset  -9.0 time bins, direction 1
Chamber 9 ( 19.3) strip 29 offset  -5.0 time bins, direction 1
Chamber 9 ( 19.3) strip 30 offset  -1.0 time bins, direction 1
Chamber 9 ( 19.3) strip 31 offset -19.0 time bins, direction 1
Chamber 10 ( 31.1) strip 1 offset  29.0 time bins, direction 1
Chamber 10 ( 31.1) strip 2 offset  13.0 time bins, direction 1
Chamber 10 ( 31.1) strip 3 offset  21.0 time bins, direction 1
Chamber 10 ( 31.1) strip 4 offset  21.0 time bins, direction 1
Chamber 10 ( 31.1) strip 5 offset  13.0 time bins, direction 1
Chamber 10 ( 31.1) strip 6 offset  11.0 time bins, direction 1
Chamber 10 ( 31.1) strip 7 offset  19.0 time bins, direction 1
Chamber 10 ( 31.1) strip 8 offset -17.0 time bins, direction 1
Chamber 10 ( 31.1) strip 9 offset  -3.0 time bins, direction 1
Chamber 10 ( 31.1) strip 10 offset -15.0 time bins, direction 1
Chamber 10 ( 31.1) strip 11 offset -11.0 time bins, direction 1
Chamber 10 ( 31.1) strip 12 offset  -1.0 time bins, direction 1
Chamber 10 ( 31.1) strip 13 offset  -5.0 time bins, direction 1
Chamber 10 ( 31.1) strip 14 offset   7.0 time bins, direction 1
Chamber 10 ( 31.1) strip 15 offset -13.0 time bins, direction 1
Chamber 10 ( 31.1) strip 16 offset  15.0 time bins, direction 1
Chamber 10 ( 31.1) strip 17 offset   1.0 time bins, direction 1
Chamber 10 ( 31.1) strip 18 offset  35.0 time bins, direction 1
Chamber 10 ( 31.1) strip 19 offset  29.0 time bins, direction 1
Chamber 10 ( 31.1) strip 20 offset  19.0 time bins, direction 1
Chamber 10 ( 31.1) strip 21 offset  17.0 time bins, direction 1
Chamber 10 ( 31.1) strip 22 offset  15.0 time bins, direction 1
Chamber 10 ( 31.1) strip 23 offset  21.0 time bins, direction 1
Chamber 10 ( 31.1) strip 24 offset  -1.0 time bins, direction 1
Chamber 10 ( 31.1) strip 25 offset  -3.0 time bins, direction 1
Chamber 10 ( 31.1) strip 26 offset  -3.0 time bins, direction 1
Chamber 10 ( 31.1) strip 27 offset  -9.0 time bins, direction 1
Chamber 10 ( 31.1) strip 28 offset  -9.0 time bins, direction 1
Chamber 10 ( 31.1) strip 29 offset   1.0 time bins, direction 1
Chamber 10 ( 31.1) strip 30 offset  -1.0 time bins, direction 1
Chamber 10 ( 31.1) strip 31 offset   9.0 time bins, direction 1
Chamber 11 (  6.1) strip 1 offset  15.0 time bins, direction -1
Chamber 11 (  6.1) strip 2 offset   5.0 time bins, direction -1
Chamber 11 (  6.1) strip 3 offset  15.0 time bins, direction -1
Chamber 11 (  6.1) strip 4 offset  17.0 time bins, direction -1
Chamber 11 (  6.1) strip 5 offset  19.0 time bins, direction -1
Chamber 11 (  6.1) strip 6 offset  39.0 time bins, direction -1
