+47.1	+37.4	0.9	598.5
1.1	32	11	10	160	-956	502	74	29	-34	55
2.1	32	11	10	160	-814	502	-14	25	-34	78
3.1	32	11	10	160	-653	502	74	31	-35	55
4.1	32	11	10	160	-516	502	-14	25	-35	78
5.1	32	11	10	160	-352	502	74	27	-34	55
6.1	32	11	10	160	-218	502	-14	32	-35	78
7.1	32	11	10	160	-50	477	74	24	-38	55
8.1	32	11	10	160	70	502	-14	25	-41	78
9.1	32	11	10	160	241	502	74	25	-38	55
10.1	32	11	10	160	368	502	-14	23	-38	78
11.1	32	11	10	160	543	502	74	25	-39	55
12.1	32	11	10	160	665	502	-14	26	-40	78
13.1	32	11	10	160	845	502	74	25	-37	55
14.1	32	11	10	160	962	502	-14	23	-37	78
15.2	32	11	10	160	-977	170	374	27	-26	-49
16.2	32	11	10	160	-816	162	286	28	-27	-31
17.2	32	11	10	160	-675	170	374	30	-29	-49
18.2	32	11	10	160	-518	162	286	20	-28	-31
19.2	32	11	10	160	-373	170	374	15	-29	-49
19.3	32	11	10	160	-373	170	485	13	-35	-49
20.2	32	11	10	160	-220	162	286	13	-33	-31
21.2	32	11	10	160	220	162	286	11	-33	-31
22.2	32	11	10	160	373	170	374	9	-32	-49
23.2	32	11	10	160	518	162	286	7	-34	-31
24.2	32	11	10	160	675	170	374	4	-33	-49
25.2	32	11	10	160	816	162	286	-1	-31	-31
26.2	32	11	10	160	977	170	374	0	-31	-49
27.1	32	11	10	160	-955	-159	74	13	-32	66
28.1	32	11	10	160	-814	-159	-14	17	-32	64
29.1	32	11	10	160	-653	-159	74	16	-33	66
30.1	32	11	10	160	-516	-159	-14	16	-34	64
31.1	32	11	10	160	-352	-159	74	19	-34	66
32.1	32	11	10	160	-218	-159	-14	20	-35	64
33.1	32	11	10	160	-50	-136	74	19	-36	66
34.1	32	11	10	160	70	-159	-14	19	-35	64
35.1	32	11	10	160	241	-159	74	20	-37	66
36.1	32	11	10	160	368	-159	-14	22	-37	64
37.1	32	11	10	160	501	-159	74	-20	-37	66
38.1	32	11	10	160	666	-159	-14	25	-37	64
39.1	32	11	10	160	845	-159	74	24	-35	66
40.1	32	11	10	160	963	-159	-14	24	-35	64
107.2	16	19	18	560	-1290	714	374	7	-24	35
108.2	16	19	18	560	-813	750	286	8	-21	45
109.2	16	19	18	560	-271	760	374	8	-33	35
110.2	16	19	18	560	271	750	286	11	-25	45
111.2	16	19	18	560	813	760	374	7	-35	35
112.2	16	19	18	560	1300	705	286	10	-21	45
113.1	16	19	18	560	-1298	429	-14	22	-27	58
114.1	16	19	18	560	1329	429	74	29	-26	62
115.2	16	19	18	560	-1300	135	286	20	-24	-15
116.2	16	19	18	560	1300	135	286	-4	-29	-79
117.1	16	19	18	560	-1298	-142	-14	1	-25	99
118.1	16	19	18	560	1329	-142	74	25	-30	67
119.2	16	19	18	560	-1290	-426	374	-18	-19	108
120.2	16	19	18	560	-813	-483	286	-5	-17	65
121.2	16	19	18	560	-271	-475	374	-10	-25	108
122.2	16	19	18	560	271	-483	286	3	-20	65
123.2	16	19	18	560	813	-475	374	7	-24	108
124.2	16	19	18	560	1300	-435	286	12	-18	65
