ch coef error
349 0.0208311 0
350 0.0232289 0
351 0.0226362 0
352 0.0248283 0
353 0.0194451 0
354 0.020221 0
355 0.0193646 0
356 0.0201759 0
357 0.0191847 0
358 0.0213058 0
359 0.0219475 0
360 0.0228382 0
361 0.030924 0
362 0.0266904 0
363 0.0303486 0
364 0.023733 0
365 0.0242904 0
366 0.0288199 0
367 0.0289682 0
368 0.0280678 0
369 0.0280535 0
370 0.0241949 0
371 0.0199874 0
372 0.0237265 0
373 0.0229665 0
374 0.0200919 0
375 0.0224375 0
376 0.0226349 0
377 0.0195963 0
378 0.0216784 0
379 0.0251558 0
380 0.0229859 0
381 0.0240932 0
382 0.0264322 0
383 0.0246852 0
384 0.030775 0
385 0.0341327 0
386 0.0286771 0
387 0.0320407 0
388 0.0318833 0
389 0.0297866 0
390 0.0366838 0
391 0.0255663 0
392 0.0270237 0
393 0.0251456 0
394 0.0274592 0
395 0.0239054 0
396 0.0258442 0
397 0.0343403 0
398 0.0328746 0
399 0.0473122 0
400 0.0210365 0
401 0.0220491 0
402 0.0204037 0
403 0.0274983 0
404 0.0295274 0
405 0.0240272 0
406 0.0273239 0
407 0.0318989 0
408 0.0273452 0
409 0.0330479 0
410 0.0291936 0
411 0.0290698 0
412 0.0234224 0
413 0.0272213 0
414 0.02707 0
415 0.0241821 0
416 0.024391 0
417 0.0259355 0
418 0.0332394 0
419 0.031578 0
420 0.0328291 0
421 0.022611 0
422 0.0257453 0
423 0.0209533 0
424 0.0266238 0
425 0.0236933 0
426 0.0265168 0
427 0.0286995 0
428 0.0316639 0
429 0.0338718 0
430 0.0333886 0
431 0.0317939 0
432 0.0353849 0
433 0.0254447 0
434 0.026286 0
435 0.0282341 0
436 0.0267898 0
437 0.0246682 0
438 0.02485 0
439 0.0415694 0
440 0.0356764 0
441 0.033632 0
442 0.036841 0
443 0.0353332 0
444 0.040446 0
445 0.0286693 0
446 0.0287137 0
447 0.0251036 0
448 0.0390818 0
449 0.0378164 0
450 0.0415258 0
451 0.0387586 0
452 0.0420748 0
453 0.0401935 0
454 0.0400986 0
455 0.0388877 0
456 0.0433691 0
457 0.0215418 0
458 0.0197119 0
459 0.0192389 0
460 0.0281333 0
461 0.0234322 0
462 0.02774 0
463 0.0400975 0
464 0.0359268 0
465 0.0375453 0
466 0.0266696 0
467 0.0278737 0
468 0.024494 0
469 0.033582 0
470 0.0379174 0
471 0.046769 0
472 0.0350988 0
473 0.0358303 0
474 0.0382139 0
475 0.0409754 0
476 0.0373523 0
477 0.0422552 0
478 0.0248231 0
479 0.0238818 0
480 0.0239696 0
481 0.0262323 0
482 0.025155 0
483 0.0258811 0
484 0.026992 0
485 0.0339552 0
486 0.0381481 0
487 0.0308692 0
488 0.028591 0
489 0.0516805 0
490 0.0343996 0
491 0.0311167 0
492 0.0462207 0
493 0.035173 0
494 0.0388132 0
495 0.0419188 0
496 0.0588591 0
497 0.0390235 0
498 0.0465424 0
499 0.0231908 0
500 0.0242112 0
501 0.0210608 0
502 0.02945 0
503 0.027341 0
504 0.0522813 0
