Final TimeShift. ns
-248
Plane  Strip  TimeShift. ns
7 16 8.791394
7 17 8.785983
7 18 8.780767
7 19 8.775746
7 20 8.77092
7 21 8.76629
7 22 8.761856
7 23 8.757618
7 24 8.753576
7 25 8.749732
7 26 8.746085
7 27 8.742635
7 28 8.739382
7 29 8.736327
7 30 8.733471
7 31 8.730812
7 32 8.728352
7 33 8.72609
7 34 8.724028
7 35 8.722163
7 36 8.720498
7 37 8.719032
7 38 8.717765
7 39 8.716698
7 40 8.71583
7 41 8.715161
7 42 8.714691
7 43 8.714422
7 44 8.714351
7 45 8.71448
7 46 8.714809
7 47 8.715337
8 0 9.087494
8 1 9.079197
8 2 9.071083
8 3 9.063154
8 4 9.05541
8 5 9.047852
8 6 9.040479
8 7 9.033293
8 8 9.026294
8 9 9.019482
8 10 9.012858
8 11 9.006423
8 12 9.000175
8 13 8.994117
8 14 8.988248
8 15 8.982569
8 16 8.977079
8 17 8.971781
8 18 8.966673
8 19 8.961756
8 20 8.95703
8 21 8.952496
8 22 8.948154
8 23 8.944005
8 24 8.940048
8 25 8.936284
8 26 8.932712
8 27 8.929334
8 28 8.92615
8 29 8.923159
8 30 8.920362
8 31 8.91776
8 32 8.915351
8 33 8.913137
8 34 8.911117
8 35 8.909292
8 36 8.907662
8 37 8.906227
8 38 8.904987
8 39 8.903942
8 40 8.903092
8 41 8.902437
8 42 8.901977
8 43 8.901713
8 44 8.901644
8 45 8.901771
8 46 8.902092
8 47 8.902609
9 0 9.080932
9 1 9.072628
9 2 9.064509
9 3 9.056574
9 4 9.048825
9 5 9.041261
9 6 9.033883
9 7 9.026692
9 8 9.019688
9 9 9.012871
9 10 9.006242
9 11 8.999801
9 12 8.99355
9 13 8.987487
9 14 8.981613
9 15 8.97593
9 16 8.970437
9 17 8.965134
9 18 8.960022
9 19 8.955101
9 20 8.950372
9 21 8.945835
9 22 8.94149
9 23 8.937337
9 24 8.933377
9 25 8.92961
9 26 8.926036
9 27 8.922656
9 28 8.919469
9 29 8.916476
9 30 8.913677
9 31 8.911072
9 32 8.908662
9 33 8.906446
9 34 8.904425
9 35 8.902599
9 36 8.900968
9 37 8.899531
9 38 8.89829
9 39 8.897244
9 40 8.896394
9 41 8.895738
9 42 8.895278
9 43 8.895014
9 44 8.894945
9 45 8.895071
9 46 8.895393
9 47 8.895911
10 0 8.943857
10 1 8.94388
10 2 8.944097
10 3 8.944509
10 4 8.945115
10 5 8.945915
10 6 8.946909
10 7 8.948098
10 8 8.949481
10 9 8.951057
10 10 8.952828
10 11 8.954792
10 12 8.95695
10 13 8.959302
10 14 8.961847
10 15 8.964585
10 16 8.967516
10 17 8.97064
10 18 8.973957
10 19 8.977466
10 20 8.981168
10 21 8.985061
10 22 8.989146
10 23 8.993422
10 24 8.99789
10 25 9.002549
10 26 9.007398
10 27 9.012437
10 28 9.017667
10 29 9.023086
10 30 9.028694
10 31 9.034492
10 32 9.040477
10 33 9.046652
10 34 9.053014
10 35 9.059563
10 36 9.066299
10 37 9.073222
10 38 9.080332
10 39 9.087627
10 40 9.095107
10 41 9.102772
10 42 9.110621
10 43 9.118655
10 44 9.126872
10 45 9.135271
10 46 9.143854
10 47 9.152618
11 0 8.671478
11 1 8.671501
11 2 8.671725
11 3 8.67215
11 4 8.672775
11 5 8.6736
11 6 8.674626
11 7 8.675851
11 8 8.677278
11 9 8.678904
11 10 8.68073
11 11 8.682756
11 12 8.684981
11 13 8.687407
11 14 8.690031
11 15 8.692855
11 16 8.695878
11 17 8.699099
11 18 8.70252
11 19 8.706138
11 20 8.709955
11 21 8.713969
11 22 8.718181
11 23 8.722591
11 24 8.727197
11 25 8.732
11 26 8.736999
11 27 8.742195
11 28 8.747586
11 29 8.753172
11 30 8.758953
11 31 8.764929
11 32 8.771099
11 33 8.777462
11 34 8.784019
11 35 8.790769
11 36 8.797711
11 37 8.804846
11 38 8.812171
11 39 8.819688
11 40 8.827396
11 41 8.835293
11 42 8.84338
11 43 8.851656
11 44 8.86012
11 45 8.868772
11 46 8.877612
11 47 8.886639
12 0 8.775662
12 1 8.775685
12 2 8.775907
