run	BC1	BC2	BC3	BC4	BC5
844	1348.6349335901	1333.3916959196	4677.8579272636	5058.0572296107	4299.7274055303
845	1348.0117578948	1333.9940901437	4677.4567523416	5057.1906035994	4299.5004108813
846	1347.4192986966	1334.5895369737	4677.0363545272	5056.2776163268	4299.2142555272
847	1346.8593330199	1335.1766806548	4676.5947597533	5055.3251020157	4298.8687800633
848	1346.3336378888	1335.7541654321	4676.1299939527	5054.3398948890	4298.4638250852
849	1345.8439903273	1336.3206355507	4675.6400830585	5053.3288291694	4297.9992311883
850	1345.3921673598	1336.8747352559	4675.1230530036	5052.2987390800	4297.4748389682
851	1344.9799460103	1337.4151087927	4674.5769297210	5051.2564588434	4296.8904890204
852	1344.6091033030	1337.9404004063	4673.9997391436	5050.2088226826	4296.2460219403
853	1344.2814162622	1338.4492543419	4673.3895072043	5049.1626648203	4295.5412783236
854	1343.9986619118	1338.9403148446	4672.7442598361	5048.1248194795	4294.7760987656
855	1343.7626172762	1339.4122261595	4672.0620229720	5047.1021208829	4293.9503238618
856	1343.5750593795	1339.8636325318	4671.3408225449	5046.1014032535	4293.0637942079
857	1343.4377652458	1340.2931782067	4670.5786844877	5045.1295008140	4292.1163503992
858	1343.3525118993	1340.6995074293	4669.7736347335	5044.1932477873	4291.1078330313
859	1343.3210763641	1341.0812644446	4668.9236992150	5043.2994783962	4290.0380826997
860	1343.3452356645	1341.4370934980	4668.0269038654	5042.4550268636	4288.9069399999
861	1343.4267668246	1341.7656388345	4667.0812746175	5041.6667274124	4287.7142455274
862	1343.5674468686	1342.0655446993	4666.0848374043	5040.9414142653	4286.4598398776
863	1343.7673981255	1342.3354553375	4665.0356181587	5040.2859216452	4285.1435636462
864	1344.0201241446	1342.5740149943	4663.9316428137	5039.7070837749	4283.7652574286
865	1344.3174737797	1342.7798679148	4662.7709373023	5039.2117348773	4282.3247618202
866	1484.6122436523	1342.9516583441	4661.5515275573	5038.8067091753	4280.8219174167
867	1481.0650310516	1343.0880305275	4660.2724529565	5038.4969093913	4279.2463958247
868	1476.1443786621	1343.1876287100	4658.9368066563	5038.2795122466	4277.5471926966
869	1472.1140995026	1343.2490971369	4657.5486952579	5038.1497629618	4275.6631346955
870	1470.6891460419	1343.2710800532	4656.1122253627	5038.1029067580	4273.5330484851
871	1473.0356407166	1343.2522217041	4654.6315035716	5038.1341888559	4271.0957607287
872	1479.7708644867	1343.1911663348	4653.1106364861	5038.2388544764	4268.2900980897
873	1490.9632949829	1343.0865581903	4651.5537307073	5038.4121488402	4265.0548872316
874	1506.1325073242	1342.9370415159	4649.9648928363	5038.6493171684	4261.3289548178
875	1347.9520169071	1342.7412605568	4648.3482294745	5038.9456046816	4257.0511275118
876	1348.2022506864	1342.4978595579	4646.7078472230	5039.2962566007	4252.1602319769
877	1348.4008070341	1342.2054827645	4645.0478526830	5039.6965181465	4246.5950948767
878	1348.5470983232	1341.8627744218	4643.3723524558	5040.1416345400	4240.2945428744
879	1348.6420496302	1341.4683787749	4641.6854531425	5040.6268510019	4233.1974026336
880	1348.6865860318	1341.0209400688	4639.9912613443	5041.1474127531	4225.2425008177
881	1348.6816326048	1340.5191025489	4638.2946243496	5041.6985650144	4216.4448169453
882	1348.6281144256	1268.3737277241	4636.6033521948	5042.2755530066	4207.1239419551
883	1348.5278354547	1267.9464940167	4634.9259956033	5042.8736219506	4197.6756196412
884	1348.3861151862	1267.5112966149	4633.2711052988	5043.4880170673	4188.4955937977
885	1348.2091519982	1267.0705268576	4631.6472320047	5044.1139835774	4179.9796082184
886	1348.0031442683	1266.6265760841	4630.0629264445	5044.7467667018	4172.5234066974
887	1347.7742903746	1266.1818356332	4628.5267393417	5045.3816116614	4166.5227330287
888	1347.5287886949	1265.7386968440	4627.0472214199	5046.0137636769	4162.2475630454
889	1347.2728376071	1265.2995510556	4625.6329234025	5046.6384679693	4159.4648007364
890	1347.0126354891	1264.8667896070	4624.2923960131	5047.2509697593	4157.8155821299
891	1346.7543807186	1264.4428038373	4623.0341899752	5047.8465142677	4156.9410432541
892	1346.5042716737	1264.0299850854	4621.8668560122	5048.4203467156	4156.4823201370
893	1346.2685067322	1263.6307246904	4620.7967415000	5048.9683699584	4156.1399905626
894	1346.0532842719	1263.2474139915	4619.8213804233	5049.4891173916	4155.8523993383
895	1345.8633888317	1262.8824443275	4618.9361034192	5049.9817800451	4155.6173330273
896	1345.6979495942	1262.5382070376	4618.1362411245	5050.4455489490	4155.4325781928
897	1345.5546819029	1262.2170934608	4617.4171241764	5050.8796151334	4155.2959213980
898	1345.4313011014	1261.9214949361	4616.7740832118	5051.2831696285	4155.2051492063
899	1345.3255225331	1261.6538028026	4616.2024488678	5051.6554034642	4155.1580481808
900	1345.2350615417	1261.4164083993	4615.6975517813	5051.9955076708	4155.1524048847
901	1345.1576334707	1261.2117030653	4615.2547225893	5052.3026732782	4155.1860058812
902	1345.0909536636	1261.0420781395	4614.8692919290	5052.5760913166	4155.2566377337
903	1345.0327374639	1260.9099249611	4614.5365904372	5052.8149528160	4155.3620870053
904	1344.9807002152	1260.8176348691	4614.2519487509	5053.0184488067	4155.5001402592
905	1344.9325572611	1260.7675992025	4614.0106975073	5053.1857703185	4155.6685840587
906	1344.8860239450	1260.7622093003	4613.8081673433	5053.3161083817	4155.8652049670
907	1344.8388156106	1260.8038565017	4613.6396888958	5053.4086540263	4156.0877895473
908	1344.7886476012	1260.8949321456	4613.5005928020	5053.4625982824	4156.3341243629
909	1344.7332352606	1261.0378275710	4613.3862096988	5053.4771321800	4156.6019959769
910	1344.6702939322	1261.2349341171	4613.2918702232	5053.4514467494	4156.8891909527
911	1344.5975389596	1261.4886431229	4613.2129050122	5053.3847330206	4157.1934958533
912	1344.5126856862	1261.8013459274	4613.1446447029	5053.2761820236	4157.5126972422
913	1344.4134494557	1262.1754338696	4613.0824199322	5053.1249847885	4157.8445816824
914	1344.2975456116	1262.6132982886	4613.0215613371	5052.9303323455	4158.1869357372
915	1344.1626894974	1263.1173305234	4612.9573995547	5052.6914157246	4158.5375459698
916	1344.0065964567	1263.6899219131	4612.8852652220	5052.4074259560	4158.8941989436
