Common shift
0
Plane	Strip	Correction
8	13	21.782
8	14	21.782
8	15	21.782
8	16	21.782
8	17	21.782
8	18	21.782
8	19	21.782
8	20	21.782
8	21	21.782
8	22	21.782
8	23	21.782
8	24	21.782
8	25	21.782
8	26	21.782
8	27	21.782
8	28	21.782
8	29	21.782
8	30	21.782
8	31	21.782
8	32	21.782
8	33	21.782
8	34	21.782
8	35	21.782
8	36	21.782
8	37	21.782
8	38	21.782
8	39	21.782
8	40	21.782
8	41	21.782
8	42	21.782
8	43	21.782
8	44	21.782
8	45	21.782
8	46	21.782
8	47	21.782
9	0	21.782
9	1	21.782
9	2	21.782
9	3	21.782
9	4	21.782
9	5	21.782
9	6	21.782
9	7	21.782
9	8	21.782
9	9	21.782
9	10	21.782
9	11	21.782
9	12	21.782
9	13	21.782
9	14	21.782
9	15	21.782
9	16	21.782
9	17	21.782
9	18	21.782
9	19	21.782
9	20	21.782
9	21	21.782
9	22	21.782
9	23	21.782
9	24	21.782
9	25	21.782
9	26	21.782
9	27	21.782
9	28	21.782
9	29	21.782
9	30	21.782
9	31	21.782
9	32	21.782
9	33	21.782
9	34	21.782
9	35	21.782
9	36	21.782
9	37	21.782
9	38	21.782
9	39	21.782
9	40	21.782
9	41	21.782
9	42	21.782
9	43	21.782
9	44	21.782
9	45	21.782
9	46	21.782
9	47	21.782
10	0	21.782
10	1	21.782
10	2	21.782
10	3	21.782
10	4	21.782
10	5	21.782
10	6	21.782
10	7	21.782
10	8	21.782
10	9	21.782
10	10	21.782
10	11	21.782
10	12	21.782
10	13	21.782
10	14	21.782
10	15	21.782
10	16	21.782
10	17	21.782
10	18	21.782
10	19	21.782
10	20	21.782
10	21	21.782
10	22	21.782
10	23	21.782
10	24	21.782
10	25	21.782
10	26	21.782
10	27	21.782
10	28	21.782
10	29	21.782
10	30	21.782
10	31	21.782
10	32	21.782
10	33	21.782
10	34	21.782
10	35	21.782
10	36	21.782
10	37	21.782
10	38	21.782
10	39	21.782
10	40	21.782
10	41	21.782
10	42	21.782
10	43	21.782
10	44	21.782
10	45	21.782
10	46	21.782
10	47	21.782
11	0	21.782
11	1	21.782
11	2	21.782
11	3	21.782
11	4	21.782
11	5	21.782
11	6	21.782
11	7	21.782
11	8	21.782
11	9	21.782
11	10	21.782
11	11	21.782
11	12	21.782
11	13	21.782
11	14	21.782
11	15	21.782
11	16	21.782
11	17	21.782
11	18	21.782
11	19	21.782
11	20	21.782
11	21	21.782
11	22	21.782
11	23	21.782
11	24	21.782
11	25	21.782
11	26	21.782
11	27	21.782
11	28	21.782
11	29	21.782
11	30	21.782
11	31	21.782
11	32	21.782
11	33	21.782
11	34	21.782
11	35	21.782
11	36	21.782
11	37	21.782
11	38	21.782
11	39	21.782
11	40	21.782
11	41	21.782
11	42	21.782
11	43	21.782
11	44	21.782
11	45	21.782
11	46	21.782
11	47	21.782
12	0	21.782
12	1	21.782
12	2	21.782
12	3	21.782
12	4	21.782
12	5	21.782
12	6	21.782
12	7	21.782
12	8	21.782
12	9	21.782
12	10	21.782
12	11	21.782
12	12	21.782
12	13	21.782
12	14	21.782
12	15	21.782
12	16	21.782
12	17	21.782
12	18	21.782
12	19	21.782
12	20	21.782
12	21	21.782
12	22	21.782
12	23	21.782
12	24	21.782
12	25	21.782
12	26	21.782
12	27	21.782
12	28	21.782
12	29	21.782
12	30	21.782
12	31	21.782
12	32	21.782
12	33	21.782
12	34	21.782
12	35	21.782
12	36	21.782
12	37	21.782
12	38	21.782
12	39	21.782
12	40	21.782
12	41	21.782
12	42	21.782
12	43	21.782
12	44	21.782
12	45	21.782
12	46	21.782
12	47	21.782
13	0	21.782
13	1	21.782
13	2	21.782
13	3	21.782
13	4	21.782
13	5	21.782
13	6	21.782
13	7	21.782
13	8	21.782
13	9	21.782
13	10	21.782
13	11	21.782
13	12	21.782
13	13	21.782
13	14	21.782
13	15	21.782
13	16	21.782
13	17	21.782
13	18	21.782
13	19	21.782
13	20	21.782
13	21	21.782
13	22	21.782
13	23	21.782
13	24	21.782
13	25	21.782
13	26	21.782
13	27	21.782
13	28	21.782
13	29	21.782
13	30	21.782
13	31	21.782
13	32	21.782
13	33	21.782
13	34	21.782
13	35	21.782
13	36	21.782
13	37	21.782
13	38	21.782
13	39	21.782
13	40	21.782
13	41	21.782
13	42	21.782
13	43	21.782
13	44	21.782
13	45	21.782
13	46	21.782
13	47	21.782
14	0	21.782
14	1	21.782
14	2	21.782
14	3	21.782
14	4	21.782
14	5	21.782
14	6	21.782
14	7	21.782
14	8	21.782
14	9	21.782
14	10	21.782
14	11	21.782
14	12	21.782
14	13	21.782
14	14	21.782
14	15	21.782
14	16	21.782
14	17	21.782
14	18	21.782
14	19	21.782
14	20	21.782
14	21	21.782
14	22	21.782
14	23	21.782
14	24	21.782
14	25	21.782
14	26	21.782
14	27	21.782
14	28	21.782
14	29	21.782
14	30	21.782
14	31	21.782
14	32	21.782
14	33	21.782
14	34	21.782
14	35	21.782
14	36	21.782
14	37	21.782
14	38	21.782
14	39	21.782
14	40	21.782
14	41	21.782
14	42	21.782
14	43	21.782
14	44	21.782
14	45	21.782
14	46	21.782
14	47	21.782
15	0	21.782
15	1	21.782
15	2	21.782
15	3	21.782
15	4	21.782
15	5	21.782
15	6	21.782
15	7	21.782
15	8	21.782
15	9	21.782
15	10	21.782
15	11	21.782
15	12	21.782
15	13	21.782
15	14	21.782
15	15	21.782
15	16	21.782
15	17	21.782
15	18	21.782
15	19	21.782
15	20	21.782
15	21	21.782
15	22	21.782
15	23	21.782
15	24	21.782
15	25	21.782
15	26	21.782
15	27	21.782
15	28	21.782
15	29	21.782
15	30	21.782
15	31	21.782
15	32	21.782
15	33	21.782
15	34	21.782
15	35	21.782
15	36	21.782
15	37	21.782
15	38	21.782
15	39	21.782
15	40	21.782
15	41	21.782
15	42	21.782
15	43	21.782
15	44	21.782
15	45	21.782
15	46	21.782
15	47	21.782
16	0	21.782
16	1	21.782
16	2	21.782
16	3	21.782
16	4	21.782
16	5	21.782
16	6	21.782
16	7	21.782
16	8	21.782
16	9	21.782
16	10	21.782
16	11	21.782
16	12	21.782
16	13	21.782
16	14	21.782
16	15	21.782
16	16	21.782
16	17	21.782
16	18	21.782
16	19	21.782
16	20	21.782
16	21	21.782
16	22	21.782
16	23	21.782
16	24	21.782
16	25	21.782
16	26	21.782
16	27	21.782
16	28	21.782
16	29	21.782
16	30	21.782
16	31	21.782
16	32	21.782
16	33	21.782
16	34	21.782
16	35	21.782
16	36	21.782
16	37	21.782
16	38	21.782
16	39	21.782
16	40	21.782
16	41	21.782
16	42	21.782
16	43	21.782
16	44	21.782
16	45	21.782
16	46	21.782
16	47	21.782
17	0	21.782
17	1	21.782
17	2	21.782
17	3	21.782
17	4	21.782
17	5	21.782
17	6	21.782
17	7	21.782
17	8	21.782
17	9	21.782
17	10	21.782
17	11	21.782
17	12	21.782
17	13	21.782
17	14	21.782
17	15	21.782
17	16	21.782
17	17	21.782
17	18	21.782
17	19	21.782
17	20	21.782
17	21	21.782
17	22	21.782
17	23	21.782
17	24	21.782
17	25	21.782
17	26	21.782
17	27	21.782
17	28	21.782
17	29	21.782
17	30	21.782
17	31	21.782
17	32	21.782
17	33	21.782
17	34	21.782
17	35	21.782
17	36	21.782
17	37	21.782
17	38	21.782
17	39	21.782
17	40	21.782
17	41	21.782
17	42	21.782
17	43	21.782
17	44	21.782
17	45	21.782
17	46	21.782
17	47	21.782
18	0	21.782
18	1	21.782
18	2	21.782
18	3	21.782
18	4	21.782
18	5	21.782
18	6	21.782
18	7	21.782
18	8	21.782
18	9	21.782
18	10	21.782
18	11	21.782
18	12	21.782
18	13	21.782
18	14	21.782
18	15	21.782
18	16	21.782
18	17	21.782
18	18	21.782
18	19	21.782
18	20	21.782
18	21	21.782
18	22	21.782
18	23	21.782
18	24	21.782
18	25	21.782
18	26	21.782
18	27	21.782
18	28	21.782
18	29	21.782
18	30	21.782
18	31	21.782
18	32	21.782
18	33	21.782
18	34	21.782
18	35	21.782
18	36	21.782
18	37	21.782
18	38	21.782
18	39	21.782
18	40	21.782
18	41	21.782
18	42	21.782
18	43	21.782
18	44	21.782
18	45	21.782
18	46	21.782
18	47	21.782
19	0	21.782
19	1	21.782
19	2	21.782
19	3	21.782
19	4	21.782
19	5	21.782
19	6	21.782
19	7	21.782
19	8	21.782
19	9	21.782
19	10	21.782
19	11	21.782
19	12	21.782
19	13	21.782
19	14	21.782
19	15	21.782
19	16	21.782
19	17	21.782
19	18	21.782
19	19	21.782
19	20	21.782
19	21	21.782
19	22	21.782
19	23	21.782
19	24	21.782
19	25	21.782
19	26	21.782
19	27	21.782
19	28	21.782
19	29	21.782
19	30	21.782
19	31	21.782
19	32	21.782
19	33	21.782
19	34	21.782
19	35	21.782
19	36	21.782
19	37	21.782
19	38	21.782
19	39	21.782
19	40	21.782
19	41	21.782
19	42	21.782
19	43	21.782
19	44	21.782
19	45	21.782
19	46	21.782
19	47	21.782
