Common TimeShift, ns
566
Plane	 Strip	 TimeShift, ns
11	0	19.9270
11	1	20.2031
11	2	20.2002
11	3	20.1912
11	4	20.1715
11	5	20.2201
11	6	20.2083
11	7	20.1941
11	8	20.2143
11	9	20.2359
11	10	20.2270
11	11	20.2264
11	12	20.2148
11	13	20.2344
11	14	20.2413
11	15	20.2553
11	16	20.2572
11	17	20.2624
11	18	20.2501
11	19	20.2668
11	20	20.2542
11	21	20.2679
11	22	20.2904
11	23	20.2923
11	24	20.2944
11	25	20.3150
11	26	20.3092
11	27	20.2963
11	28	20.3077
11	29	20.3231
11	30	20.3422
11	31	20.3517
12	0	20.2484
12	1	20.6170
12	2	20.6181
12	3	20.6280
12	4	20.6161
12	5	20.6399
12	6	20.6372
12	7	20.6382
12	8	20.6611
12	9	20.6644
12	10	20.6709
12	11	20.6604
12	12	20.6640
12	13	20.6772
12	14	20.6811
12	15	20.6734
12	16	20.6746
12	17	20.7015
12	18	20.6964
12	19	20.7059
12	20	20.6920
12	21	20.7051
12	22	20.7086
12	23	20.7063
12	24	20.6983
12	25	20.7079
12	26	20.7003
12	27	20.6899
12	28	20.6613
12	29	20.6257
12	30	20.6560
12	31	20.6304
13	0	19.9838
13	1	20.3875
13	2	20.3735
13	3	20.3450
13	4	20.2857
13	5	20.2843
13	6	20.2744
13	7	19.9927
13	8	20.3638
13	9	20.4037
13	10	20.4084
13	11	20.4052
13	12	20.3608
13	13	20.3993
13	14	20.4097
13	15	20.4406
13	16	20.4586
13	17	20.4421
13	18	20.3778
13	19	20.3287
13	20	20.3044
13	21	20.3258
13	22	20.3493
13	23	20.3750
13	24	20.4031
13	25	20.3268
13	26	20.3361
13	27	20.2383
13	28	20.2368
13	29	20.3443
13	30	20.3940
13	31	20.3006
14	0	21.6830
14	1	22.4472
14	2	22.4609
14	3	22.4463
14	4	22.4682
14	5	22.4528
14	6	22.4571
14	7	22.4259
14	8	22.4469
14	9	22.4417
14	10	22.4458
14	11	22.4707
14	12	22.4534
14	13	22.4452
14	14	22.4748
14	15	22.4436
14	16	22.4296
14	17	22.4074
14	18	22.4030
14	19	22.4754
14	20	22.4580
14	21	22.4605
14	22	22.4032
14	23	22.4566
14	24	22.4473
14	25	22.4330
14	26	22.4320
14	27	22.4368
14	28	22.4463
14	29	22.4423
14	30	22.4611
14	31	22.4428
15	0	21.2901
15	1	21.9825
15	2	21.9697
15	3	21.9590
15	4	21.9542
15	5	21.9702
