Final TimeShift. ns
-248
Plane  Strip  TimeShift. ns
7 16 8.77847
7 17 8.772914
7 18 8.767554
7 19 8.762388
7 20 8.757418
7 21 8.752644
7 22 8.748066
7 23 8.743685
7 24 8.7395
7 25 8.735512
7 26 8.731721
7 27 8.728128
7 28 8.724733
7 29 8.721536
7 30 8.718537
7 31 8.715736
7 32 8.713134
7 33 8.710731
7 34 8.708527
7 35 8.706522
7 36 8.704716
7 37 8.70311
7 38 8.701703
7 39 8.700495
7 40 8.699488
7 41 8.69868
7 42 8.698072
7 43 8.697664
7 44 8.697455
7 45 8.697447
7 46 8.697638
7 47 8.69803
8 0 9.076851
8 1 9.068412
8 2 9.060156
8 3 9.052085
8 4 9.044199
8 5 9.036499
8 6 9.028985
8 7 9.021657
8 8 9.014516
8 9 9.007562
8 10 9.000796
8 11 8.994218
8 12 8.987829
8 13 8.981629
8 14 8.975618
8 15 8.969797
8 16 8.964167
8 17 8.958726
8 18 8.953477
8 19 8.948419
8 20 8.943552
8 21 8.938878
8 22 8.934395
8 23 8.930105
8 24 8.926007
8 25 8.922103
8 26 8.918391
8 27 8.914874
8 28 8.91155
8 29 8.908419
8 30 8.905483
8 31 8.902741
8 32 8.900194
8 33 8.897842
8 34 8.895684
8 35 8.893721
8 36 8.891953
8 37 8.890381
8 38 8.889003
8 39 8.887822
8 40 8.886835
8 41 8.886044
8 42 8.885449
8 43 8.885049
8 44 8.884845
8 45 8.884837
8 46 8.885025
8 47 8.885408
9 0 9.070563
9 1 9.062118
9 2 9.053856
9 3 9.04578
9 4 9.037888
9 5 9.030183
9 6 9.022663
9 7 9.01533
9 8 9.008184
9 9 9.001225
9 10 8.994454
9 11 8.987872
9 12 8.981478
9 13 8.975274
9 14 8.969259
9 15 8.963434
9 16 8.957799
9 17 8.952355
9 18 8.947102
9 19 8.94204
9 20 8.93717
9 21 8.932492
9 22 8.928006
9 23 8.923713
9 24 8.919613
9 25 8.915705
9 26 8.911991
9 27 8.908471
9 28 8.905144
9 29 8.902012
9 30 8.899074
9 31 8.89633
9 32 8.893781
9 33 8.891427
9 34 8.889267
9 35 8.887303
9 36 8.885534
9 37 8.88396
9 38 8.882582
9 39 8.881399
9 40 8.880412
9 41 8.879621
9 42 8.879025
9 43 8.878625
9 44 8.878421
9 45 8.878413
9 46 8.8786
9 47 8.878984
10 0 8.960866
10 1 8.960756
10 2 8.960839
10 3 8.961117
10 4 8.961589
10 5 8.962255
10 6 8.963115
10 7 8.964168
10 8 8.965415
10 9 8.966857
10 10 8.968491
10 11 8.970319
10 12 8.972341
10 13 8.974556
10 14 8.976964
10 15 8.979565
10 16 8.982359
10 17 8.985345
10 18 8.988524
10 19 8.991895
10 20 8.995458
10 21 8.999212
10 22 9.003159
10 23 9.007296
10 24 9.011625
10 25 9.016144
10 26 9.020854
10 27 9.025754
10 28 9.030844
10 29 9.036123
10 30 9.041592
10 31 9.047249
10 32 9.053095
10 33 9.059129
10 34 9.065351
10 35 9.07176
10 36 9.078357
10 37 9.085139
10 38 9.092108
10 39 9.099263
10 40 9.106603
10 41 9.114128
10 42 9.121837
10 43 9.12973
10 44 9.137806
10 45 9.146066
10 46 9.154508
10 47 9.163132
11 0 8.688729
11 1 8.688616
11 2 8.688702
11 3 8.688989
11 4 8.689475
11 5 8.690162
11 6 8.691049
11 7 8.692135
11 8 8.693421
11 9 8.694908
11 10 8.696593
11 11 8.698479
11 12 8.700564
11 13 8.702848
11 14 8.705331
11 15 8.708013
11 16 8.710894
11 17 8.713973
11 18 8.717251
11 19 8.720727
11 20 8.7244
11 21 8.728272
11 22 8.73234
11 23 8.736606
11 24 8.741069
11 25 8.745728
11 26 8.750584
11 27 8.755635
11 28 8.760882
11 29 8.766324
11 30 8.77196
11 31 8.777792
11 32 8.783817
11 33 8.790036
11 34 8.796448
11 35 8.803053
11 36 8.80985
11 37 8.81684
11 38 8.82402
11 39 8.831392
11 40 8.838955
11 41 8.846707
11 42 8.854649
11 43 8.86278
11 44 8.8711
11 45 8.879607
11 46 8.888302
11 47 8.897184
12 0 8.792985
12 1 8.792872
12 2 8.792958
12 3 8.793241
12 4 8.793722
12 5 8.7944
12 6 8.795276
12 7 8.79635
12 8 8.797621
12 9 8.79909
