Common TimeShift, ns
-175
Plane	 Strip	 TimeShift, ns
0 0 8.73723
0 1 8.73667
0 2 8.7363
0 3 8.73614
0 4 8.73617
0 5 8.7364
0 6 8.73683
0 7 8.73746
0 8 8.73829
0 9 8.73932
0 10 8.74055
0 11 8.74197
0 12 8.7436
0 13 8.74542
0 14 8.74744
0 15 8.74966
0 16 8.75208
0 17 8.75469
0 18 8.75751
0 19 8.76052
0 20 8.76372
0 21 8.76713
0 22 8.77073
0 23 8.77453
0 24 8.77852
0 25 8.78272
0 26 8.7871
0 27 8.79168
0 28 8.79646
0 29 8.80144
0 30 8.8066
0 31 8.81196
0 32 8.81752
0 33 8.82327
0 34 8.82921
0 35 8.83535
0 36 8.84167
0 37 8.84819
0 38 8.8549
0 39 8.8618
0 40 8.8689
0 41 8.87618
0 42 8.88365
0 43 8.89131
0 44 8.89916
0 45 8.9072
0 46 8.91543
0 47 8.92384
1 0 8.46178
1 1 8.4612
1 2 8.46082
1 3 8.46065
1 4 8.46068
1 5 8.46092
1 6 8.46137
1 7 8.46202
1 8 8.46288
1 9 8.46394
1 10 8.4652
1 11 8.46668
1 12 8.46835
1 13 8.47023
1 14 8.47232
1 15 8.47461
1 16 8.47711
1 17 8.47981
1 18 8.48271
1 19 8.48582
1 20 8.48913
1 21 8.49265
1 22 8.49637
1 23 8.50029
1 24 8.50441
1 25 8.50874
1 26 8.51326
1 27 8.51799
1 28 8.52293
1 29 8.52806
1 30 8.53339
1 31 8.53892
1 32 8.54466
1 33 8.55059
1 34 8.55672
1 35 8.56305
1 36 8.56958
1 37 8.5763
1 38 8.58323
1 39 8.59035
1 40 8.59766
1 41 8.60518
1 42 8.61288
1 43 8.62079
1 44 8.62888
1 45 8.63717
1 46 8.64566
1 47 8.65433
2 0 8.56495
2 1 8.56438
2 2 8.56401
2 3 8.56384
2 4 8.56387
2 5 8.56411
2 6 8.56455
2 7 8.56519
2 8 8.56604
2 9 8.56709
2 10 8.56834
2 11 8.56979
2 12 8.57145
2 13 8.57331
2 14 8.57537
2 15 8.57763
2 16 8.5801
2 17 8.58277
2 18 8.58564
2 19 8.58871
2 20 8.59198
2 21 8.59545
2 22 8.59913
2 23 8.603
2 24 8.60707
2 25 8.61135
