TimeShift by Proton p>2GeV/c. Common TimeShift, ns
545
Plane	Strip	TimeShift, ns
6	21	15.5235
6	22	15.629
6	23	15.5536
6	24	15.5186
6	25	15.4853
6	26	15.5445
6	27	15.5604
6	28	15.5293
6	29	15.633
6	30	15.4153
6	31	15.5024
6	32	15.4928
6	33	15.6493
6	34	15.6181
6	35	15.7053
6	36	15.6492
6	37	15.7139
6	38	15.6125
6	39	15.7231
6	40	15.5942
6	41	15.6883
6	42	15.6974
6	43	15.7155
6	44	15.5896
6	45	15.7763
6	46	15.8141
6	47	15.7713
7	0	17.0254
7	1	16.9748
7	2	17.0978
7	3	17.1462
7	4	17.0855
7	5	17.1384
7	6	17.0144
7	7	17.1172
7	8	17.0805
7	9	17.1404
7	10	17.0342
7	11	17.1673
7	12	17.1315
7	13	17.3334
7	14	17.227
7	15	17.289
7	16	17.3275
7	17	17.4133
7	18	17.2147
7	19	17.3257
7	20	17.2918
7	21	17.2595
7	22	17.3804
7	23	17.3905
7	24	17.563
7	25	17.6002
7	26	17.6616
7	27	17.7247
7	28	17.6458
7	29	17.7763
7	30	17.5821
7	31	17.7163
7	32	17.6148
7	33	17.6298
7	34	17.5997
7	35	17.7544
7	36	17.6335
7	37	17.7868
7	38	17.6631
7	39	17.8514
7	40	17.8113
7	41	17.9501
7	42	17.8715
7	43	17.8864
7	44	17.7626
7	45	17.9204
7	46	17.9216
7	47	17.8747
8	0	21.7347
8	1	21.7664
8	2	21.6248
8	3	21.8354
8	4	21.7455
8	5	21.6845
8	6	21.7178
8	7	21.8152
8	8	21.6393
8	9	21.8379
8	10	21.753
8	11	21.7881
8	12	21.7311
8	13	21.8803
8	14	21.7553
8	15	21.8143
8	16	21.8298
8	17	21.8427
8	18	21.7357
8	19	21.8269
8	20	21.7229
8	21	21.8757
8	22	21.9358
8	23	21.921
8	24	21.846
8	25	21.8309
8	26	21.848
8	27	21.9806
8	28	21.8301
8	29	21.9749
8	30	21.7821
8	31	21.9267
8	32	21.9826
8	33	22.0442
8	34	21.9435
8	35	22.1944
8	36	22.0675
8	37	22.1554
8	38	22.1263
8	39	22.2479
8	40	22.0756
8	41	22.2323
8	42	22.1768
8	43	22.1877
8	44	22.1528
8	45	22.3053
8	46	22.2805
8	47	22.3131
9	0	21.6129
9	1	21.6377
9	2	21.5982
9	3	21.7613
9	4	21.6802
9	5	21.6827
9	6	21.6424
9	7	21.7472
