Plane	Strip	MeanFit	Mean
==========================
0	0	0	-11.9766
0	1	-0.000159662	0
0	2	0.0702626	0.0703125
0	3	-0.0937999	-0.09375
0	4	-0.0469249	-0.046875
0	5	-0.0469249	-0.046875
0	6	0.0468251	0.046875
0	7	-0.0586328	-0.0585938
0	8	-0.191521	-0.368164
0	9	-0.0469249	-0.046875
0	10	0.0468251	0.046875
0	11	-0.0234874	-0.0234375
0	12	0.0233876	0.0234375
0	13	-0.0469249	-0.046875
0	14	0.0702626	0.0703125
0	15	-0.0469249	-0.046875
0	16	0.0702626	0.0703125
0	17	-0.0117578	-0.0117188
0	18	-0.296875	0.0491798
0	19	0.0702626	0.0703125
0	20	0.140657	0.140625
0	21	-0.0234874	-0.0234375
0	22	0.0937001	0.09375
0	23	-10.5766	-11.9883
0	24	6.53903	6.53906
0	25	6.53901	6.53906
0	26	6.58589	6.58594
0	27	6.48083	6.48047
0	28	6.56245	6.5625
0	29	6.55114	6.55078
0	30	6.6562	6.65625
0	31	6.56253	6.5625
0	32	6.66833	6.66797
0	33	6.49214	6.49219
0	34	6.62145	6.62109
0	35	6.57458	6.57422
0	36	6.67964	6.67969
0	37	6.5277	6.52734
0	38	6.64489	6.64453
0	39	6.56245	6.5625
0	40	6.58589	6.58594
0	41	6.49214	6.49219
0	42	6.62145	6.62109
0	43	6.55114	6.55078
0	44	6.64489	6.64453
0	45	6.50427	6.50391
0	46	6.51566	6.51562
0	47	0	-11.9766
1	0	0	-11.9766
1	1	0.152373	0.152344
1	2	-0.15625	0.189094
1	3	0.0936363	0.09375
1	4	0.163949	0.164062
1	5	0.117074	0.117188
1	6	0.234261	0.234375
1	7	0.175616	0.175781
1	8	0.163949	0.164062
1	9	0.0936362	0.09375
1	10	0.199053	0.199219
1	11	0.0936362	0.09375
1	12	0.152178	0.152344
1	13	-0.0235513	-0.0234375
1	14	0.058428	0.0585938
1	15	0.011729	0.0117188
1	16	0.0701987	0.0703125
1	17	-0.000113767	0
1	18	0.117074	0.117188
1	19	0.0701987	0.0703125
1	20	0.0936362	0.09375
1	21	0.0233237	0.0234375
1	22	0.0467612	0.046875
1	23	0.0467612	0.046875
1	24	0.187386	0.1875
1	25	0.0936362	0.09375
1	26	0.140511	0.140625
1	27	0.0701987	0.0703125
1	28	0.140511	0.140625
1	29	0.0936362	0.09375
1	30	0.140511	0.140625
1	31	0.117074	0.117188
1	32	0.105476	0.105469
1	33	-0.320312	0.0250542
1	34	0.163949	0.164062
1	35	-0.0235513	-0.0234375
1	36	0.152351	0.152344
1	37	0.105476	0.105469
1	38	0.187386	0.1875
1	39	0.058601	0.0585938
1	40	0.152351	0.152344
1	41	0.0820389	0.0820312
1	42	0.0820389	0.0820312
1	43	0.14089	0.140625
1	44	0.222668	0.222656
1	45	0.0705777	0.0703125
1	46	0.128918	0.128906
1	47	0	-11.9766
2	0	0	-11.9766
2	1	0.199097	0.199219
2	2	0.175955	0.175781
2	3	0.163949	0.164062
2	4	0.269365	0.269531
2	5	0.129081	0.128906
2	6	0.293141	0.292969
2	7	0.234261	0.234375
2	8	0.210824	0.210938
2	9	0.12874	0.128906
2	10	0.257699	0.257812
2	11	0.0818654	0.0820312
2	12	0.199393	0.199219
2	13	0.0701987	0.0703125
2	14	0.152178	0.152344
2	15	0.117074	0.117188
2	16	0.187386	0.1875
2	17	0.0467612	0.046875
