Final TimeShift. ns
-248
Plane  Strip  TimeShift. ns
6 35 8.9188566
6 36 8.9090988
6 37 8.9208225
6 38 8.9163556
6 39 8.913909
6 40 8.9240798
6 41 8.9111073
6 42 8.9128894
6 43 8.9041715
6 44 8.9132857
6 45 8.9038114
6 46 8.9174659
6 47 8.9175099
7 0 8.92728
7 1 8.9177001
7 2 8.9019822
7 3 8.8951994
7 4 8.8829078
7 5 8.8804624
7 6 8.8684104
7 7 8.8619027
7 8 8.863865
7 9 8.8566318
7 10 8.8461823
7 11 8.8475869
7 12 8.8367556
7 13 8.82805
7 14 8.8307277
7 15 8.8223123
7 16 8.8147685
7 17 8.8080946
7 18 8.8017303
7 19 8.7972575
7 20 8.7912708
7 21 8.7799678
7 22 8.7814779
7 23 8.7802537
7 24 8.7698982
7 25 8.7657789
7 26 8.7674572
7 27 8.7681903
7 28 8.7637958
7 29 8.7513587
7 30 8.7494723
7 31 8.7481635
7 32 8.7435795
7 33 8.7470451
7 34 8.7387905
7 35 8.7395853
7 36 8.7354223
7 37 8.7352185
7 38 8.7327208
7 39 8.7356868
7 40 8.7397379
7 41 8.7326911
7 42 8.72834
7 43 8.7291953
7 44 8.7370669
7 45 8.7338401
7 46 8.7367951
7 47 8.7456852
8 0 9.1118283
8 1 9.1110692
8 2 9.0883381
8 3 9.0873502
8 4 9.0682391
8 5 9.0640188
8 6 9.0581472
8 7 9.0517733
8 8 9.0491864
8 9 9.0336344
8 10 9.0343166
8 11 9.0216634
8 12 9.0182019
8 13 9.012856
8 14 9.0060055
8 15 9.0002335
8 16 9.0030384
8 17 8.9983152
8 18 8.9794726
8 19 8.9865091
8 20 8.9712707
8 21 8.964649
8 22 8.9591056
8 23 8.9647227
8 24 8.9498229
8 25 8.9541516
8 26 8.9511452
8 27 8.9554
8 28 8.9462089
8 29 8.9298025
8 30 8.9356194
8 31 8.935768
8 32 8.9286953
8 33 8.9316727
8 34 8.9308865
8 35 8.9249157
8 36 8.9184384
8 37 8.9235051
8 38 8.908092
8 39 8.9205411
8 40 8.9182949
8 41 8.9133962
8 42 8.9177896
8 43 8.9101102
8 44 8.9140288
8 45 8.9171002
8 46 8.9206865
8 47 8.924548
9 0 9.0813285
9 1 9.0748216
9 2 9.0722625
9 3 9.0741463
9 4 9.0582749
9 5 9.0435044
9 6 9.0400461
9 7 9.0412254
9 8 9.0329508
9 9 9.0266502
9 10 9.0175458
9 11 9.0059591
9 12 9.0098767
9 13 8.9290914
9 14 8.9926399
9 15 8.9872979
9 16 8.9753953
9 17 8.9688069
9 18 8.9603214
9 19 8.95010607
9 20 8.9543427
9 21 8.952805
9 22 8.9467634
9 23 8.9408134
9 24 8.9343572
9 25 8.9304459
9 26 8.9279442
9 27 8.9352111
9 28 8.9245158
9 29 8.923806
9 30 8.9187227
9 31 8.9173517
9 32 8.9264989
9 33 8.9069941
9 34 8.9080713
9 35 8.9064618
9 36 8.9039501
9 37 8.9082919
9 38 8.9036734
9 39 8.8958366
9 40 8.8986665
9 41 8.9030853
9 42 8.8898219
9 43 8.8965102
9 44 8.9031225
9 45 8.9161798
9 46 8.8974294
9 47 8.8982783
10 0 9.0100548
10 1 8.9880126
10 2 9.0105642
10 3 8.9894668
10 4 8.9938453
10 5 8.9954456
10 6 8.9884603
10 7 8.9870816
10 8 8.9925704
10 9 9.0006928
10 10 8.998186
10 11 8.9858055
10 12 9.0050903
10 13 9.0033366
10 14 9.0030363
10 15 9.0008388
10 16 9.0151375
10 17 9.0145378
10 18 9.0061644
10 19 9.027635
10 20 9.022985
10 21 9.03351
10 22 9.0368858
10 23 9.0317525
10 24 9.0372586
10 25 9.0427429
10 26 9.0534379
10 27 9.0603979
10 28 9.0526867
10 29 9.05958
10 30 9.0775864
10 31 9.0781589
10 32 9.0747559
10 33 9.087853
10 34 9.0935175
10 35 9.1104506
10 36 9.1168328
10 37 9.1138703
10 38 9.1218253
10 39 9.1449872
10 40 9.1480506
