nRun 0.000 0.000 ZcoorHe
2777 0.857 0.064 2.625
2778 0.845 0.148 2.575
2779 0.833 0.188 6.975
2781 0.822 0.226 2.525
2782 0.822 0.226 0.000
2783 0.759 0.551 1.175
2784 0.870 0.109 2.675
2785 0.857 0.150 3.325
2786 0.857 0.150 6.825
2788 0.857 0.150 2.525
2789 0.857 0.150 2.525
2790 0.833 0.313 3.225
2791 0.857 0.107 2.525
2792 0.857 0.150 2.575
2793 0.882 0.022 6.775
2795 0.857 0.150 2.525
2796 0.857 0.150 2.525
2797 0.857 0.150 2.525
2799 0.857 0.150 2.475
2800 0.857 0.150 2.525
2801 0.870 0.065 2.475
2802 0.882 0.022 6.775
2803 0.870 0.065 6.825
2804 0.857 0.150 3.325
2805 0.845 0.190 3.325
2806 0.857 0.150 2.475
2807 0.845 0.190 2.525
2808 0.857 0.150 2.525
2809 0.870 0.109 6.775
2812 0.857 0.150 6.825
2813 0.870 0.109 2.525
2814 0.870 0.109 2.525
2816 0.870 0.109 2.475
2817 0.857 0.150 2.475
2818 0.845 0.190 2.525
2819 0.857 0.150 6.825
2820 0.857 0.150 3.325
2821 0.870 0.109 2.525
2823 0.870 0.065 2.525
2824 0.845 0.190 2.525
2825 0.857 0.107 2.525
2826 0.857 0.150 2.525
2828 0.870 0.065 6.825
2838 0.845 0.148 3.375
2839 0.857 0.107 0.000
2840 0.857 0.150 2.525
2841 0.870 0.109 2.525
2842 0.870 0.109 2.525
2843 0.870 0.109 2.525
2844 0.870 0.152 2.475
2845 0.870 0.152 6.725
2846 0.882 0.066 6.725
2847 0.870 0.152 2.525
2848 0.870 0.109 2.425
2849 0.857 0.193 2.525
2850 0.882 0.066 2.475
2852 0.845 0.232 2.525
2853 0.870 0.152 6.725
2855 0.870 0.152 2.475
2856 0.870 0.109 2.525
2857 0.870 0.109 2.525
2861 0.857 0.236 2.475
2863 0.896 0.022 6.675
2864 0.896 0.112 2.525
2865 0.896 0.112 2.475
2866 0.896 0.112 2.475
2867 0.909 0.068 2.475
2868 0.896 0.067 6.625
2869 0.882 0.066 2.525
2870 0.870 0.109 2.475
2871 0.882 0.066 2.425
2873 0.870 0.152 2.475
2874 0.870 0.152 2.425
2875 0.870 0.152 2.475
2877 0.882 0.066 2.475
2878 0.870 0.196 2.475
2879 0.870 0.152 2.475
2880 1.000 -0.675 0.000
2881 0.882 0.110 2.425
2884 0.909 0.068 2.475
2885 0.909 0.068 6.525
2886 0.909 0.068 2.425
2887 0.909 0.068 2.425
2889 0.923 -0.023 2.475
2892 0.923 0.023 3.225
2893 0.909 0.114 2.425
2895 0.909 0.068 2.425
2897 0.909 0.068 3.225
2898 0.909 0.068 6.525
2899 0.909 0.068 3.225
2900 0.923 0.023 2.425
2901 0.882 0.199 2.425
2903 0.909 0.114 2.425
2904 0.923 0.023 6.475
2905 0.882 0.199 2.425
2906 0.896 0.157 2.425
2907 0.909 0.114 2.475
2910 0.909 0.114 2.375
2911 0.923 0.023 6.475
2912 0.909 0.068 2.375
2913 0.909 0.068 3.225
2914 0.909 0.114 2.375
2916 0.909 0.114 3.175
2917 0.938 -0.023 6.425
2918 0.923 0.069 2.425
2919 0.909 0.114 2.475
2922 0.923 0.069 2.425
2923 0.923 0.023 2.475
2924 0.938 -0.023 6.425
2925 0.909 0.114 2.425
2926 0.923 0.069 3.175
2927 0.909 0.114 2.425
2928 0.938 0.023 2.425
2929 0.923 0.069 2.375
2930 0.938 -0.023 6.425
2931 0.909 0.159 2.425
2932 0.909 0.114 2.425
2934 0.909 0.114 2.425
2935 0.896 0.201 2.425
2936 0.923 0.023 6.475
2937 0.896 0.157 3.175
2939 0.896 0.157 2.375
2940 0.882 0.199 2.425
2942 0.857 0.321 0.000
2944 0.870 0.196 2.375
2945 0.923 0.023 2.375
2946 0.909 0.114 2.425
2947 0.923 0.023 6.475
2948 0.923 0.023 3.225
2950 0.909 0.159 2.375
2953 0.909 0.068 2.425
2954 0.882 0.199 2.475
2955 0.896 0.112 2.425
2956 0.909 0.068 2.425
2957 0.909 0.068 6.525
2958 0.896 0.112 2.475
2960 0.896 0.157 2.425
2961 0.909 0.114 2.375
