ncrates
2

crate	crateID
0	0x68C99E
1	0x6912B2

nslots
15

crate	slot	dnltype		dnlfile
0	0	2		TDC_FFD_INL.dat
0	16	26		3		11		2
0	16	27		3		12		2
0	16	28		3		13		2
0	16	29		3		14		2
0	16	30		3		15		2
0	16	31		3		16		2
0	16	32		3		17		1
0	16	33		3		18		1
0	16	34		3		19		1
0	16	35		3		20		1
0	16	36		3		21		1
0	16	37		3		22		1
0	16	38		3		23		1
0	16	39		3		24		1
0	16	40		3		25		1
0	16	41		3		26		1
0	16	42		3		27		1
0	16	43		3		28		1
0	16	44		3		29		1
0	16	45		3		30		1
0	16	46		3		31		1
0	16	47		3		32		1
0	16	48		3		17		2
0	16	49		3		18		2
0	16	50		3		19		2
0	16	51		3		20		2
0	16	52		3		21		2
0	16	53		3		22		2
0	16	54		3		23		2
0	16	55		3		24		2
0	16	56		3		25		2
0	16	57		3		26		2
0	16	58		3		27		2
0	16	59		3		28		2
0	16	60		3		29		2
0	16	61		3		30		2
0	16	62		3		31		2
0	16	63		3		32		2
0	17	0		9		1		1
0	17	1		9		2		1
0	17	2		9		3		1
0	17	3		9		4		1
0	17	4		9		5		1
0	17	5		9		6		1
0	17	6		9		7		1
0	17	7		9		8		1
0	17	8		9		9		1
0	17	9		9		10		1
0	17	10		9		11		1
0	17	11		9		12		1
0	17	12		9		13		1
0	17	13		9		14		1
0	17	14		9		15		1
0	17	15		9		16		1
0	17	16		9		1		2
0	17	17		9		2		2
0	17	18		9		3		2
0	17	19		9		4		2
0	17	20		9		5		2
0	17	21		9		6		2
0	17	22		9		7		2
0	17	23		9		8		2
0	17	24		9		9		2
0	17	25		9		10		2
0	17	26		9		11		2
0	17	27		9		12		2
0	17	28		9		13		2
0	17	29		9		14		2
0	17	30		9		15		2
0	17	31		9		16		2
0	17	32		9		17		1
0	17	33		9		18		1
0	17	34		9		19		1
0	17	35		9		20		1
0	17	36		9		21		1
0	17	37		9		22		1
0	17	38		9		23		1
0	17	39		9		24		1
0	17	40		9		25		1
0	17	41		9		26		1
0	17	42		9		27		1
0	17	43		9		28		1
0	17	44		9		29		1
0	17	45		9		30		1
0	17	46		9		31		1
0	17	47		9		32		1
0	17	48		9		17		2
0	17	49		9		18		2
0	17	50		9		19		2
0	17	51		9		20		2
0	17	52		9		21		2
0	17	53		9		22		2
0	17	54		9		23		2
0	17	55		9		24		2
0	17	56		9		25		2
0	17	57		9		26		2
0	17	58		9		27		2
0	17	59		9		28		2
0	17	60		9		29		2
0	17	61		9		30		2
0	17	62		9		31		2
0	17	63		9		32		2
1	10	0		13		1		1
1	10	1		13		2		1
1	10	2		13		3		1
1	10	3		13		4		1
1	10	4		13		5		1
1	10	5		13		6		1
1	10	6		13		7		1
1	10	7		13		8		1
1	10	8		13		9		1
1	10	9		13		10		1
1	10	10		13		11		1
1	10	11		13		12		1
1	10	12		13		13		1
1	10	13		13		14		1
1	10	14		13		15		1
1	10	15		13		16		1
1	10	16		13		1		2
1	10	17		13		2		2
1	10	18		13		3		2
1	10	19		13		4		2
1	10	20		13		5		2
1	10	21		13		6		2
1	10	22		13		7		2
1	10	23		13		8		2
1	10	24		13		9		2
1	10	25		13		10		2
