Plane	Strip	Speed
47 2 0.0573018
47 3 0.056904
47 4 0.0566389
47 5 0.0564148
47 6 0.0562969
47 7 0.0563703
47 8 0.0564639
47 9 0.0566121
47 10 0.0567437
47 11 0.0574115
47 12 0.0580417
47 13 0.0584968
47 14 0.05932
47 15 0.0621427
47 16 0.0573687
48 1 0.0575708
48 2 0.0572065
48 3 0.0563173
48 4 0.0559583
48 5 0.0556787
48 6 0.0556204
48 7 0.0557804
48 8 0.0561069
48 9 0.0561279
48 10 0.056191
48 11 0.0564992
48 12 0.0568876
48 13 0.0569176
48 14 0.0572437
48 16 0.0563899
49 1 0.0569771
49 2 0.0569045
49 3 0.0566598
49 4 0.0563976
49 5 0.0563273
49 6 0.0563072
49 7 0.0565469
49 8 0.0568147
49 9 0.057231
49 10 0.057431
49 11 0.0575182
49 12 0.0575997
49 13 0.057859
49 14 0.0584489
49 15 0.060985
49 16 0.0574614
50 1 0.0586926
50 2 0.0578382
50 3 0.0573094
50 4 0.0569436
50 5 0.0565542
50 6 0.056138
50 7 0.0554788
50 8 0.055154
50 9 0.0549443
50 11 0.0560592
50 12 0.0560441
50 13 0.0561417
50 14 0.0565518
50 15 0.0573151
50 16 0.0568761
51 1 0.0575418
51 2 0.0579841
51 3 0.0584246
51 4 0.0582982
51 5 0.0579026
51 6 0.0578824
51 7 0.0575662
51 8 0.0578654
51 9 0.0581581
51 10 0.0582408
51 11 0.0586832
51 12 0.0586278
51 13 0.0588211
51 14 0.0589982
51 15 0.0612506
51 16 0.058506
52 1 0.0590096
52 2 0.0585705
52 3 0.0577367
52 4 0.0578279
52 5 0.0578657
52 6 0.0577098
52 7 0.0575873
52 8 0.0577638
52 9 0.0577651
52 10 0.0578814
52 11 0.0579876
52 12 0.0584156
52 13 0.0588038
52 14 0.0587505
52 15 0.0590327
52 16 0.0581923
53 1 0.0584052
53 2 0.0581672
53 3 0.057709
53 4 0.0570028
53 5 0.0567902
53 6 0.0565256
53 7 0.0561142
53 8 0.0564445
53 9 0.0565222
53 10 0.0598785
53 11 0.0610515
53 12 0.0616943
53 13 0.0622931
53 14 0.0613259
53 15 0.0618661
53 16 0.0574503
54 1 0.0595926
54 2 0.0595363
54 3 0.0592212
54 4 0.0591584
54 5 0.0587937
54 6 0.0585934
54 7 0.0581579
54 8 0.0586315
54 9 0.0586431
54 10 0.0583823
54 11 0.0583062
54 12 0.0589328
54 13 0.0610171
54 14 0.0611863
54 15 0.0624585
54 16 0.0590355
55 1 0.0592532
55 2 0.0590264
55 3 0.0578839
55 5 0.0573142
55 6 0.0569334
55 7 0.0568123
55 8 0.0571801
55 9 0.0572045
55 10 0.0572848
55 11 0.0572035
55 12 0.0598409
55 14 0.0631109
55 15 0.0632244
55 16 0.0577341
56 1 0.0589484
56 2 0.0584824
56 3 0.0578079
56 4 0.0574703
56 5 0.0570001
56 6 0.0567015
56 7 0.0567327
56 8 0.0572882
56 9 0.0573665
56 10 0.0575942
56 11 0.057793
56 12 0.0581896
56 13 0.0609601
56 14 0.0618428
56 15 0.060793
56 16 0.0577138
57 1 0.0594306
57 2 0.0593348
57 3 0.0585886
57 4 0.0581235
57 5 0.0578246
57 6 0.0576092
57 7 0.0573935
57 8 0.0574132
57 9 0.0574077
57 10 0.0575508
57 11 0.0578237
57 12 0.0584506
57 13 0.0601811
57 14 0.0598538
57 15 0.0602525
57 16 0.0579944
58 1 0.0574442
58 2 0.0569474
58 3 0.0559326
58 4 0.0555298
58 5 0.0551747
58 6 0.0548877
58 7 0.0549722
58 8 0.0551025
58 9 0.054793
58 10 0.0548616
58 11 0.0550611
58 12 0.0554246
58 13 0.0559703
58 14 0.056696
58 15 0.0586551
58 16 0.055569
