Plane	Strip	Speed
10 3 0.0625606
10 4 0.0619884
10 5 0.0617835
10 6 0.0615925
10 7 0.0614803
10 8 0.0611588
10 9 0.0609636
10 10 0.0604188
10 11 0.0603494
10 12 0.0598668
10 13 0.0600602
10 14 0.0601712
10 15 0.0596248
10 16 0.0597065
10 17 0.0602847
10 18 0.0603383
10 19 0.0598562
10 20 0.0601338
10 21 0.0607914
10 22 0.0609514
10 23 0.0605953
10 24 0.0610266
10 25 0.0606719
10 26 0.0603799
10 27 0.0606407
10 28 0.0356956
10 30 0.0601243
10 31 0.0624112
10 32 0.0612827
11 1 0.0638544
11 2 0.0631236
11 3 0.0616854
11 4 0.0611382
11 5 0.0604809
11 6 0.0600325
11 7 0.0596699
11 8 0.0604388
11 9 0.0611724
11 10 0.0610808
11 11 0.0605545
11 12 0.0611981
11 13 0.0615209
11 14 0.0622082
11 15 0.0609794
11 16 0.0604308
11 17 0.0607941
11 18 0.0610035
11 19 0.0608168
11 20 0.0600975
11 21 0.0600993
11 22 0.0607116
11 23 0.0598812
11 24 0.0593156
11 25 0.060883
11 26 0.060583
11 27 0.0609307
11 28 0.0605472
11 29 0.0612324
11 30 0.0634641
11 31 0.0656735
11 32 0.0616415
12 1 0.0621799
12 2 0.06141
12 3 0.0615595
12 4 0.0603585
12 5 0.0601875
12 6 0.0598216
12 7 0.058909
12 8 0.0590744
12 9 0.059284
12 10 0.0589643
12 11 0.0589897
12 12 0.058916
12 13 0.0589327
12 14 0.0588185
12 15 0.0587993
12 16 0.0587998
12 17 0.0587918
12 18 0.0583916
12 19 0.0592582
12 20 0.0597665
12 21 0.0598806
12 22 0.0601956
12 23 0.0602446
12 24 0.0607604
12 25 0.0604905
12 26 0.0603565
12 27 0.0604183
12 28 0.0608724
12 29 0.060725
12 30 0.0607648
12 31 0.0620412
12 32 0.0596634
13 1 0.0618897
13 2 0.0608753
13 3 0.0602685
13 4 0.0606263
13 5 0.0589732
13 6 0.0589249
13 8 0.0581417
13 9 0.0591743
13 10 0.0592225
13 11 0.0582701
13 12 0.0590141
13 13 0.058817
13 14 0.0591229
13 15 0.0587183
13 16 0.0592021
13 17 0.0599443
13 18 0.0601345
13 19 0.060279
13 20 0.0608957
13 21 0.060966
13 22 0.0614958
13 23 0.0609649
13 24 0.060983
13 25 0.0611309
13 26 0.0609316
13 27 0.0608279
13 28 0.0614162
13 29 0.0615167
13 30 0.0610072
13 31 0.0616878
13 32 0.0601371
14 1 0.0594787
14 2 0.0597866
14 3 0.0590078
14 4 0.0584273
14 5 0.0590203
14 6 0.0589547
14 7 0.0587408
14 8 0.0584735
14 9 0.058316
14 10 0.0582259
14 11 0.058975
14 12 0.0582758
14 13 0.0580668
14 14 0.0580642
14 15 0.059265
14 16 0.058399
14 17 0.058115
14 18 0.0583209
14 19 0.0585114
14 20 0.05834
14 21 0.0578371
14 22 0.0578176
14 23 0.0575998
14 24 0.0575667
14 25 0.0576477
14 26 0.058112
14 27 0.0581217
14 28 0.0580509
14 29 0.0588039
14 30 0.0609384
14 31 0.0675756
14 32 0.0588756
15 1 0.0618693
15 2 0.0598839
15 3 0.0590197
15 4 0.0583539
15 5 0.0582404
15 6 0.0584274
15 7 0.0582384
15 8 0.0577402
15 9 0.0578301
15 10 0.0578082
15 11 0.0581839
15 12 0.0574853
15 13 0.0579837
15 14 0.0580838
15 15 0.0584341
15 16 0.0587794
15 17 0.0585393
15 18 0.0594102
15 19 0.0588227
15 20 0.0586887
15 21 0.0589525
15 22 0.0588986
15 23 0.0591309
15 24 0.0589299
15 25 0.0585116
15 26 0.0590774
15 27 0.0589388
15 28 0.0586989
15 29 0.0592715
15 30 0.060275
15 31 0.0652897
15 32 0.0589275
16 1 0.0584535
16 2 0.0586365
16 3 0.0581882
16 4 0.0581036
16 5 0.058378
16 6 0.0589921
16 7 0.0587507
16 8 0.0584646
16 9 0.0579444
16 10 0.058804
16 11 0.0592112
16 12 0.0588283
16 13 0.0590341
16 14 0.0589726
16 15 0.0590732
16 16 0.0590481
16 17 0.0586411
16 18 0.0585327
16 19 0.0579473
16 20 0.0580223
16 21 0.0588315
16 22 0.0588787
16 23 0.0591095
16 24 0.0589209
16 25 0.0589094
16 26 0.0587472
16 27 0.05854
16 28 0.0587447
16 29 0.0593578
16 30 0.0596823
16 31 0.0635582
