id#			ADC_ch		ECAL_ch		x(cm)		y(cm)
==============================================================================
0x030DBFAC		19		130		26.375		14.225
0x030DBFAC		20		159		30.375		46.525
0x030DBFAC		21		137		26.375		42.525
0x030DBFAC		22		179		34.375		42.525
0x030DBFAC		23		157		30.375		38.525
0x030DBFAC		24		175		34.375		26.375
0x030DBFAC		25		151		30.375		14.225
0x030DBFAC		26		173		34.375		18.225
0x030DBFAC		27		138		26.375		46.525
0x030DBFAC		28		180		34.375		46.525
0x030DBFAC		29		158		30.375		42.525
0x030DBFAC		30		136		26.375		38.525
0x030DBFAC		31		178		34.375		38.525
0x030DBFAC		32		154		30.375		26.375
0x030DBFAC		33		232		46.525		2.075
0x030DBFAC		34		190		38.525		2.075
0x030DBFAC		35		212		42.525		6.075
0x030DBFAC		36		234		46.525		10.075
0x030DBFAC		37		192		38.525		10.075
0x030DBFAC		38		216		42.525		22.225
0x030DBFAC		39		194		38.525		18.225
0x030DBFAC		40		236		46.525		18.225
0x030DBFAC		41		211		42.525		2.075
0x030DBFAC		42		233		46.525		6.075
0x030DBFAC		43		191		38.525		6.075
0x030DBFAC		44		213		42.525		10.075
0x030DBFAC		45		195		38.525		22.225
0x030DBFAC		46		237		46.525		22.225
0x030DBFAC		47		215		42.525		18.225
0x030DBFAC		48		193		38.525		14.225
0x030DBFAC		49		133		26.375		26.375
0x030DBFAC		50		155		30.375		30.375
0x030DBFAC		51		177		34.375		34.375
0x030DBFAC		52		135		26.375		34.375
0x030DBFAC		53		217		42.525		26.375
0x030DBFAC		54		239		46.525		30.375
0x030DBFAC		55		240		46.525		34.375
0x030DBFAC		56		198		38.525		34.375
0x030DBFAC		57		176		34.375		30.375
0x030DBFAC		58		134		26.375		30.375
0x030DBFAC		59		156		30.375		34.375
0x030DBFAC		60		238		46.525		26.375
0x030DBFAC		61		196		38.525		26.375
0x030DBFAC		62		218		42.525		30.375
0x030DBFAC		63		197		38.525		30.375
0x030DBFAC		64		219		42.525		34.375
0x0611D0E6		1		466		91.125		14.225
0x0611D0E6		2		421		82.975		2.075
0x0611D0E6		3		379		74.975		2.075
0x0611D0E6		4		401		78.975		6.075
0x0611D0E6		5		423		82.975		10.075
0x0611D0E6		6		381		74.975		10.075
0x0611D0E6		7		405		78.975		22.225
0x0611D0E6		8		383		74.975		18.225
0x0611D0E6		9		487		95.125		14.225
0x0611D0E6		10		400		78.975		2.075
0x0611D0E6		11		422		82.975		6.075
0x0611D0E6		12		380		74.975		6.075
0x0611D0E6		13		402		78.975		10.075
0x0611D0E6		14		384		74.975		22.225
0x0611D0E6		15		426		82.975		22.225
0x0611D0E6		16		404		78.975		18.225
0x0611D0E6		18		424		82.975		14.225
0x0611D0E6		19		382		74.975		14.225
0x0611D0E6		20		411		78.975		46.525
0x0611D0E6		21		389		74.975		42.525
0x0611D0E6		22		431		82.975		42.525
0x0611D0E6		23		409		78.975		38.525
0x0611D0E6		24		427		82.975		26.375
0x0611D0E6		25		403		78.975		14.225
0x0611D0E6		26		425		82.975		18.225
0x0611D0E6		27		390		74.975		46.525
0x0611D0E6		28		432		82.975		46.525
0x0611D0E6		29		410		78.975		42.525
0x0611D0E6		30		388		74.975		38.525
0x0611D0E6		31		430		82.975		38.525
0x0611D0E6		32		406		78.975		26.375
0x0611D0E6		33		484		95.125		2.075
0x0611D0E6		34		442		87.125		2.075
0x0611D0E6		35		464		91.125		6.075
