Final TimeShift. ns
-248
Plane  Strip  TimeShift. ns
6 28 8.9684726
6 29 8.9681316
6 30 8.9726353
6 31 8.9609864
6 32 8.9624129
6 33 8.9597892
6 34 8.9557251
6 35 8.9555091
6 36 8.9475777
6 37 8.9565423
6 38 8.9588694
6 39 8.9538315
6 40 8.9548826
6 41 8.9479506
6 42 8.9460532
6 43 8.9447024
6 44 8.9548291
6 45 8.9470802
6 46 8.9536543
6 47 8.9537701
7 0 8.9566072
7 1 8.9476405
7 2 8.9336841
7 3 8.9293327
7 4 8.9203103
7 5 8.9108129
7 6 8.9046680
7 7 8.8967956
7 8 8.8981111
7 9 8.8921854
7 10 8.8809052
7 11 8.8776970
7 12 8.8727215
7 13 8.8597687
7 14 8.8638991
7 15 8.8566543
7 16 8.8480945
7 17 8.8404890
7 18 8.8356161
7 19 8.8290311
7 20 8.8248228
7 21 8.8144940
7 22 8.8194205
7 23 8.8101497
7 24 8.8075491
7 25 8.7984634
7 26 8.7994235
7 27 8.8022629
7 28 8.7972704
7 29 8.7888233
7 30 8.7902651
7 31 8.7856738
7 32 8.7804776
7 33 8.7866805
7 34 8.7745545
7 35 8.7766315
7 36 8.7719571
7 37 8.7716227
7 38 8.7688035
7 39 8.7736990
7 40 8.7768308
7 41 8.7675625
7 42 8.7637932
7 43 8.7674065
7 44 8.7732836
7 45 8.7654287
7 46 8.7709456
7 47 8.7846758
8 0 9.1503501
8 1 9.1392294
8 2 9.1234967
8 3 9.1179183
8 4 9.1032684
8 5 9.1025239
8 6 9.0899053
8 7 9.0875450
8 8 9.0809349
8 9 9.0639429
8 10 9.0689102
8 11 9.0558013
8 12 9.0519967
8 13 9.0453209
8 14 9.0385345
8 15 9.0377203
8 16 9.0288165
8 17 9.0319631
8 18 9.0177472
8 19 9.0157830
8 20 9.0080972
8 21 9.0022023
8 22 9.0009557
8 23 8.9976591
8 24 8.9869621
8 25 8.9909581
8 26 8.9865120
8 27 8.9904373
8 28 8.9809356
8 29 8.9694314
8 30 8.9736611
8 31 8.9669342
8 32 8.9663810
8 33 8.9659423
8 34 8.9678100
8 35 8.9603778
8 36 8.9530795
8 37 8.9563165
8 38 8.9493300
8 39 8.9561801
8 40 8.9566313
8 41 8.9520543
8 42 8.9511418
8 43 8.9468136
8 44 8.9508330
8 45 8.9526007
8 46 8.9536133
8 47 8.9628546
9 0 9.1159263
9 1 9.1092340
9 2 9.1061283
9 3 9.1079772
9 4 9.0952211
9 5 9.0804486
9 6 9.0703825
9 7 9.0758424
9 8 9.0676852
9 9 9.0608448
9 10 9.0490643
9 11 9.0405134
9 12 9.0452208
9 13 8.9503200
9 14 9.0270336
9 15 9.0202111
9 16 9.0086906
9 17 9.0038621
9 18 8.9960848
9 19 8.9865315
9 20 8.9928024
9 21 8.9880481
9 22 8.9814295
9 23 8.9817694
9 24 8.9732412
9 25 8.9689217
9 26 8.9635738
9 27 8.9699718
9 28 8.9669211
9 29 8.9621061
9 30 8.9529501
9 31 8.9526152
9 32 8.9592282
9 33 8.9473902
9 34 8.9406910
9 35 8.9414043
9 36 8.9400292
9 37 8.9424597
9 38 8.9418925
9 39 8.9321329
9 40 8.9344882
9 41 8.9372693
9 42 8.9286620
9 43 8.9346440
9 44 8.9418109
9 45 8.9466614
9 46 8.9346189
9 47 8.9471310
10 0 9.0071293
10 1 8.9975979
10 2 9.0098715
10 3 9.0057408
10 4 8.9970130
10 5 9.0041193
10 6 8.9957239
10 7 8.9900477
10 8 8.9986155
10 9 9.0012827
10 10 9.0079512
10 11 8.9923858
10 12 9.0189327
10 13 9.0078069
10 14 9.0082638
10 15 9.0102204
10 16 9.0228773
10 17 9.0257289
10 18 9.0191134
10 19 9.0321257
10 20 9.0308569
10 21 9.0370893
10 22 9.0402727
10 23 9.0383627
10 24 9.0453143
10 25 9.0489868
10 26 9.0599956
10 27 9.0661732
10 28 9.0647178
10 29 9.0709229
10 30 9.0828427
10 31 9.0832559
10 32 9.0855441
10 33 9.0940908
10 34 9.1015010
10 35 9.1168792
10 36 9.1283632
10 37 9.1217838
10 38 9.1342977
10 39 9.1511285
10 40 9.1551557
10 41 9.1581828
10 42 9.1537486
10 43 9.1796580
10 44 9.1942357
10 45 9.1958952
10 46 9.2042741
10 47 9.2218696
11 0 8.7169900
11 1 8.7100448
11 2 8.7129339
11 3 8.7177063
11 4 8.7220938
11 5 8.7205517
11 6 8.7208936
11 7 8.7240185
11 8 8.7242132
11 9 8.7305691
11 10 8.7311772
11 11 8.7290109
11 12 8.7339225
11 13 8.7434658
11 14 8.7345442
11 15 8.7480041
11 16 8.7450469
11 17 8.7590211
11 18 8.7524640
11 19 8.7641663
11 20 8.7676110
11 21 8.7650949
11 22 8.7684122
11 23 8.7718874
11 24 8.7765033
11 25 8.7889565
11 26 8.7874502
11 27 8.7889087
11 28 8.7966929
11 29 8.8049083
11 30 8.8132776
11 31 8.8178098
11 32 8.8235895
11 33 8.8380739
11 34 8.8405611
11 35 8.8412357
11 36 8.8515149
11 37 8.8528365
11 38 8.8646359
11 39 8.8730343
11 40 8.8761102
11 41 8.8819815
11 42 8.8994340
11 43 8.9022252
11 44 8.9173762
11 45 8.9315704
11 46 8.9438777
11 47 8.9505643
12 0 8.8340385
12 1 8.8332498
12 2 8.8191344
12 3 8.8442869
12 4 8.8334634
12 5 8.8300740
12 6 8.8422563
12 7 8.8354250
12 8 8.8311276
12 9 8.8390502
12 10 8.8405561
12 11 8.8420553
12 12 8.8419789
12 13 8.8478026
12 14 8.8465584
12 15 8.8518094
12 16 8.8567634
12 17 8.8660060
12 18 8.8581125
12 19 8.8685850
12 20 8.8750969
12 21 8.8698800
12 22 8.8779974
12 23 8.8925380
12 24 8.8840763
12 25 8.8965243
12 26 8.8969425
12 27 8.8972305
12 28 8.9078822
12 29 8.9112995
12 30 8.9250743
12 31 8.9253011
12 32 8.9222733
12 33 8.9354885
12 34 8.9436209
12 35 8.9496522
12 36 8.9528251
12 37 8.9670544
12 38 8.9773676
12 39 8.9816459
12 40 8.9893184
12 41 8.9885401
12 42 9.0007387
12 43 9.0071157
12 44 9.0198986
12 45 9.0428301
12 46 9.0402848
12 47 9.0540670
13 0 8.7300607
13 1 8.7274907
13 2 8.7258835
13 3 8.7344887
13 4 8.7317358
13 5 8.7263831
13 6 8.7292725
13 7 8.7292601
13 8 8.7337391
13 9 8.7314923
13 10 8.7349591
13 11 8.7421891
13 12 8.7396322
13 13 8.7395426
13 14 8.7348551
13 15 8.7441186
13 16 8.7496999
13 17 8.7591766
13 18 8.7532917
13 19 8.7629879
13 20 8.7740644
13 21 8.7719434
13 22 8.7742562
13 23 8.7785527
13 24 8.7863742
13 25 8.7868771
13 26 8.7891209
13 27 8.8018150
13 28 8.8098457
13 29 8.8087973
13 30 8.8246343
13 31 8.8206481
13 32 8.8291368
13 33 8.8321759
13 34 8.8406584
13 35 8.8505385
13 36 8.8564461
13 37 8.8601325
13 38 8.8717518
13 39 8.8769125
13 40 8.8844494
13 41 8.8949310
13 42 8.8965190
13 43 8.9082785
13 44 8.9169941
13 45 8.9286025
13 46 8.9444176
13 47 8.9510547
14 0 9.0155990
14 1 9.0156890
14 2 9.0159690
14 3 9.0164390
14 4 9.0171090
14 5 9.0179590
14 6 9.0190190
14 7 9.0202590
14 8 9.0216990
14 9 9.0233290
14 10 9.0251490
14 11 9.0271690
14 12 9.0293790
14 13 9.0317790
14 14 9.0343690
14 15 9.0371590
14 16 9.0401290
14 17 9.0432990
14 18 9.0466590
14 19 9.0502090
14 20 9.0539590
14 21 9.0578890
14 22 9.0620090
14 23 9.0663290
14 24 9.0734720
14 25 9.0769906
14 26 9.0778310
14 27 9.0824525
14 28 9.0893826
14 29 9.0875305
14 30 9.1010171
14 31 9.1099428
14 32 9.1152406
