Common TimeShift, ns
0
Plane	 Strip	 TimeShift, ns
7 20 14.7814
7 21 14.7952
7 22 14.8091
7 23 14.823
7 24 14.8371
7 25 14.8513
7 26 14.8655
7 27 14.8799
7 28 14.8944
7 29 14.909
7 30 14.9237
7 31 14.9385
7 32 14.9534
7 33 14.9684
7 34 14.9835
7 35 14.9987
7 36 15.014
7 37 15.0294
7 38 15.0448
7 39 15.0604
7 40 15.0761
7 41 15.0919
7 42 15.1078
7 43 15.1238
7 44 15.1399
7 45 15.1561
7 46 15.1724
7 47 15.1888
8 0 14.6798
8 1 14.6912
8 2 14.7028
8 3 14.7145
8 4 14.7264
8 5 14.7383
8 6 14.7503
8 7 14.7625
8 8 14.7747
8 9 14.7871
8 10 14.7995
8 11 14.8121
8 12 14.8248
8 13 14.8375
8 14 14.8504
8 15 14.8634
8 16 14.8765
8 17 14.8897
8 18 14.903
8 19 14.9164
8 20 14.93
8 21 14.9436
8 22 14.9573
8 23 14.9711
8 24 14.9851
8 25 14.9991
8 26 15.0132
8 27 15.0275
8 28 15.0418
8 29 15.0563
8 30 15.0708
8 31 15.0855
8 32 15.1002
8 33 15.1151
8 34 15.13
8 35 15.1451
8 36 15.1602
8 37 15.1754
8 38 15.1908
8 39 15.2062
8 40 15.2218
8 41 15.2374
8 42 15.2532
8 43 15.269
8 44 15.2849
8 45 15.301
8 46 15.3171
8 47 15.3333
9 0 14.6392
9 1 14.6508
9 2 14.6624
9 3 14.6741
9 4 14.686
9 5 14.6979
9 6 14.71
9 7 14.7222
9 8 14.7344
9 9 14.7468
9 10 14.7593
9 11 14.7719
9 12 14.7846
9 13 14.7975
9 14 14.8104
9 15 14.8234
9 16 14.8365
9 17 14.8498
9 18 14.8631
9 19 14.8766
9 20 14.8901
9 21 14.9038
9 22 14.9175
9 23 14.9314
9 24 14.9454
9 25 14.9594
9 26 14.9736
9 27 14.9879
9 28 15.0023
9 29 15.0168
9 30 15.0313
9 31 15.046
9 32 15.0608
9 33 15.0757
9 34 15.0907
9 35 15.1058
9 36 15.121
9 37 15.1363
9 38 15.1516
9 39 15.1671
9 40 15.1827
9 41 15.1984
9 42 15.2142
9 43 15.2301
9 44 15.246
9 45 15.2621
9 46 15.2783
9 47 15.2945
10 0 14.6667
10 1 14.655
10 2 14.6434
10 3 14.632
10 4 14.6206
10 5 14.6094
10 6 14.5983
10 7 14.5873
10 8 14.5764
10 9 14.5656
10 10 14.5549
10 11 14.5444
10 12 14.5339
10 13 14.5236
10 14 14.5134
10 15 14.5032
10 16 14.4932
10 17 14.4834
10 18 14.4736
10 19 14.4639
10 20 14.4544
10 21 14.4449
10 22 14.4356
10 23 14.4264
10 24 14.4173
10 25 14.4084
10 26 14.3995
10 27 14.3908
10 28 14.3821
10 29 14.3736
10 30 14.3652
10 31 14.3569
10 32 14.3488
10 33 14.3407
10 34 14.3328
10 35 14.325
10 36 14.3173
10 37 14.3097
10 38 14.3023
10 39 14.2949
10 40 14.2877
10 41 14.2806
10 42 14.2736
10 43 14.2667
10 44 14.26
10 45 14.2533
10 46 14.2468
10 47 14.2404
11 0 14.7055
11 1 14.6939
11 2 14.6824
11 3 14.671
11 4 14.6597
11 5 14.6485
11 6 14.6374
11 7 14.6264
11 8 14.6155
11 9 14.6048
11 10 14.5941
11 11 14.5836
11 12 14.5732
11 13 14.5629
11 14 14.5527
11 15 14.5426
11 16 14.5326
11 17 14.5227
11 18 14.513
11 19 14.5034
11 20 14.4938
11 21 14.4844
11 22 14.4751
11 23 14.466
11 24 14.4569
11 25 14.4479
11 26 14.4391
11 27 14.4304
11 28 14.4218
11 29 14.4133
11 30 14.4049
11 31 14.3967
11 32 14.3885
11 33 14.3805
11 34 14.3726
11 35 14.3648
11 36 14.3571
11 37 14.3496
11 38 14.3421
11 39 14.3348
11 40 14.3276
11 41 14.3205
11 42 14.3136
11 43 14.3067
11 44 14.3
11 45 14.2934
11 46 14.2869
11 47 14.2805
12 0 14.5532
12 1 14.5415
12 2 14.5298
12 3 14.5183
12 4 14.5069
12 5 14.4955
12 6 14.4843
12 7 14.4732
12 8 14.4623
12 9 14.4514
12 10 14.4406
12 11 14.43
12 12 14.4194
12 13 14.409
12 14 14.3987
12 15 14.3885
12 16 14.3784
12 17 14.3685
12 18 14.3586
12 19 14.3489
12 20 14.3393
12 21 14.3298
12 22 14.3204
12 23 14.3111
12 24 14.3019
12 25 14.2929
12 26 14.284
12 27 14.2751
12 28 14.2664
12 29 14.2579
12 30 14.2494
12 31 14.241
12 32 14.2328
12 33 14.2247
12 34 14.2167
12 35 14.2088
12 36 14.2011
12 37 14.1934
12 38 14.1859
12 39 14.1785
12 40 14.1712
12 41 14.1641
12 42 14.157
12 43 14.1501
12 44 14.1433
12 45 14.1366
12 46 14.13
12 47 14.1236
13 0 14.7032
13 1 14.6915
13 2 14.68
13 3 14.6686
13 4 14.6573
13 5 14.6461
13 6 14.635
13 7 14.624
13 8 14.6131
13 9 14.6024
13 10 14.5917
13 11 14.5812
13 12 14.5708
13 13 14.5605
13 14 14.5503
13 15 14.5402
13 16 14.5302
13 17 14.5203
13 18 14.5106
13 19 14.5009
13 20 14.4914
13 21 14.482
13 22 14.4727
13 23 14.4635
13 24 14.4545
13 25 14.4455
13 26 14.4367
13 27 14.428
13 28 14.4194
13 29 14.4109
13 30 14.4025
13 31 14.3942
13 32 14.3861
13 33 14.3781
13 34 14.3702
13 35 14.3624
13 36 14.3547
13 37 14.3471
13 38 14.3397
13 39 14.3324
13 40 14.3252
13 41 14.3181
13 42 14.3111
13 43 14.3043
13 44 14.2975
13 45 14.2909
13 46 14.2844
13 47 14.278
14 0 14.6619
14 1 14.6502
14 2 14.6386
14 3 14.6272
14 4 14.6159
14 5 14.6046
14 6 14.5935
14 7 14.5825
14 8 14.5716
14 9 14.5608
14 10 14.5501
14 11 14.5396
14 12 14.5291
14 13 14.5188
14 14 14.5085
14 15 14.4984
14 16 14.4884
14 17 14.4785
14 18 14.4687
14 19 14.4591
14 20 14.4495
14 21 14.4401
14 22 14.4308
14 23 14.4216
14 24 14.4125
14 25 14.4035
14 26 14.3946
14 27 14.3859
14 28 14.3773
14 29 14.3687
14 30 14.3603
14 31 14.3521
14 32 14.3439
14 33 14.3359
14 34 14.3279
14 35 14.3201
14 36 14.3124
14 37 14.3048
14 38 14.2974
14 39 14.29
14 40 14.2828
14 41 14.2757
14 42 14.2687
14 43 14.2618
14 44 14.2551
14 45 14.2484
14 46 14.2419
14 47 14.2355
15 0 15.7075
15 1 15.6917
15 2 15.6759
15 3 15.6602
15 4 15.6447
15 5 15.6292
15 6 15.6138
15 7 15.5985
15 8 15.5834
15 9 15.5683
15 10 15.5533
15 11 15.5384
15 12 15.5236
15 13 15.5089
15 14 15.4943
15 15 15.4798
15 16 15.4654
15 17 15.4511
15 18 15.4369
15 19 15.4228
15 20 15.4088
15 21 15.3949
15 22 15.3811
15 23 15.3674
15 24 15.3538
15 25 15.3403
15 26 15.3269
15 27 15.3136
15 28 15.3004
15 29 15.2873
15 30 15.2743
15 31 15.2614
15 32 15.2486
15 33 15.236
15 34 15.2234
15 35 15.2109
15 36 15.1986
15 37 15.1863
15 38 15.1741
15 39 15.1621
15 40 15.1501
15 41 15.1383
15 42 15.1265
15 43 15.1149
15 44 15.1034
15 45 15.092
15 46 15.0807
15 47 15.0694
16 0 15.7494
16 1 15.7336
16 2 15.7179
16 3 15.7023
16 4 15.6868
16 5 15.6713
16 6 15.656
16 7 15.6408
16 8 15.6256
16 9 15.6106
16 10 15.5956
16 11 15.5808
16 12 15.566
16 13 15.5514
16 14 15.5368
16 15 15.5223
16 16 15.508
16 17 15.4937
16 18 15.4796
16 19 15.4655
16 20 15.4515
16 21 15.4377
16 22 15.4239
16 23 15.4102
16 24 15.3967
16 25 15.3832
16 26 15.3698
16 27 15.3566
16 28 15.3434
16 29 15.3304
16 30 15.3174
16 31 15.3046
16 32 15.2918
16 33 15.2792
16 34 15.2666
16 35 15.2542
16 36 15.2419
16 37 15.2296
16 38 15.2175
16 39 15.2055
16 40 15.1936
16 41 15.1818
16 42 15.1701
16 43 15.1585
16 44 15.147
16 45 15.1356
16 46 15.1243
16 47 15.1131
17 0 15.6055
17 1 15.5895
17 2 15.5737
17 3 15.5579
17 4 15.5422
17 5 15.5267
17 6 15.5112
17 7 15.4958
17 8 15.4805
17 9 15.4653
17 10 15.4502
17 11 15.4352
17 12 15.4203
17 13 15.4056
17 14 15.3909
17 15 15.3763
17 16 15.3618
17 17 15.3474
17 18 15.3331
17 19 15.3189
17 20 15.3048
17 21 15.2908
17 22 15.2769
17 23 15.2631
17 24 15.2494
17 25 15.2358
17 26 15.2223
17 27 15.2089
17 28 15.1956
17 29 15.1824
17 30 15.1694
17 31 15.1564
17 32 15.1435
17 33 15.1308
