Common TimeShift, ns
-248 ns
Plane	 Strip	 TimeShift, ns
7 16 8.81567
7 17 8.81021
7 18 8.80495
7 19 8.79988
7 20 8.795
7 21 8.79032
7 22 8.78584
7 23 8.78155
7 24 8.77745
7 25 8.77356
7 26 8.76985
7 27 8.76635
7 28 8.76304
7 29 8.75993
7 30 8.75702
7 31 8.7543
7 32 8.75179
7 33 8.74947
7 34 8.74735
7 35 8.74542
7 36 8.7437
7 37 8.74217
7 38 8.74085
7 39 8.73972
7 40 8.73879
7 41 8.73806
7 42 8.73753
7 43 8.73719
7 44 8.73706
7 45 8.73712
7 46 8.73739
7 47 8.73785
8 0 9.11229
8 1 9.10395
8 2 9.0958
8 3 9.08783
8 4 9.08005
8 5 9.07245
8 6 9.06503
8 7 9.05781
8 8 9.05076
8 9 9.04391
8 10 9.03724
8 11 9.03076
8 12 9.02447
8 13 9.01837
8 14 9.01245
8 15 9.00672
8 16 9.00119
8 17 8.99584
8 18 8.99068
8 19 8.98572
8 20 8.98094
8 21 8.97636
8 22 8.97197
8 23 8.96777
8 24 8.96376
8 25 8.95994
8 26 8.95632
8 27 8.95289
8 28 8.94965
8 29 8.9466
8 30 8.94375
8 31 8.94109
8 32 8.93863
8 33 8.93636
8 34 8.93428
8 35 8.9324
8 36 8.93071
8 37 8.92922
8 38 8.92792
8 39 8.92681
8 40 8.9259
8 41 8.92519
8 42 8.92466
8 43 8.92434
8 44 8.92421
8 45 8.92427
8 46 8.92453
8 47 8.92498
9 0 9.10536
9 1 9.09701
9 2 9.08885
9 3 9.08088
9 4 9.07309
9 5 9.06548
9 6 9.05806
9 7 9.05083
9 8 9.04378
9 9 9.03692
9 10 9.03025
9 11 9.02376
9 12 9.01747
9 13 9.01136
9 14 9.00544
9 15 8.99971
9 16 8.99417
9 17 8.98882
9 18 8.98366
9 19 8.97869
9 20 8.97391
9 21 8.96932
9 22 8.96493
9 23 8.96072
9 24 8.95671
9 25 8.95289
9 26 8.94926
9 27 8.94583
9 28 8.94259
9 29 8.93954
9 30 8.93669
9 31 8.93403
9 32 8.93156
9 33 8.92929
9 34 8.92721
9 35 8.92532
9 36 8.92363
9 37 8.92214
9 38 8.92084
9 39 8.91973
9 40 8.91882
9 41 8.91811
9 42 8.91758
9 43 8.91726
9 44 8.91713
9 45 8.91719
9 46 8.91745
9 47 8.9179
10 0 8.96599
10 1 8.96608
10 2 8.96636
10 3 8.96683
10 4 8.9675
10 5 8.96836
10 6 8.96941
10 7 8.97066
10 8 8.97211
10 9 8.97374
10 10 8.97557
10 11 8.97759
10 12 8.97981
10 13 8.98222
10 14 8.98482
10 15 8.98761
10 16 8.9906
10 17 8.99378
10 18 8.99715
10 19 9.00071
10 20 9.00447
10 21 9.00842
10 22 9.01255
10 23 9.01688
10 24 9.0214
10 25 9.02611
10 26 9.03101
10 27 9.0361
10 28 9.04138
10 29 9.04684
10 30 9.0525
10 31 9.05834
10 32 9.06438
10 33 9.0706
10 34 9.07701
10 35 9.0836
10 36 9.09038
10 37 9.09735
10 38 9.1045
10 39 9.11184
10 40 9.11936
10 41 9.12707
10 42 9.13496
