    Serial   Station    Plane
=============================
0x06E9B78B         0        0
0x046F2950         0        1
0x06E9B820         0        2
0x06E9B8BE         0        3
0x06E9B83F         0        4
0x06E9B838         0        5
0x06EA474D         1        0
0x06E9B791         1        1
0x06E9FFB7         1        2
0x06E9B8C5         1        3
0x06E9B8A5         1        4
0x06E9FFB4         1        5
