Common TimeShift, ns
-175
Plane	 Strip	 TimeShift, ns
7 16 8.79139
7 17 8.78598
7 18 8.78077
7 19 8.77575
7 20 8.77092
7 21 8.76629
7 22 8.76186
7 23 8.75762
7 24 8.75358
7 25 8.74973
7 26 8.74608
7 27 8.74263
7 28 8.73938
7 29 8.73633
7 30 8.73347
7 31 8.73081
7 32 8.72835
7 33 8.72609
7 34 8.72403
7 35 8.72216
7 36 8.7205
7 37 8.71903
7 38 8.71777
7 39 8.7167
7 40 8.71583
7 41 8.71516
7 42 8.71469
7 43 8.71442
7 44 8.71435
7 45 8.71448
7 46 8.71481
7 47 8.71534
8 0 9.08749
8 1 9.0792
8 2 9.07108
8 3 9.06315
8 4 9.05541
8 5 9.04785
8 6 9.04048
8 7 9.03329
8 8 9.02629
8 9 9.01948
8 10 9.01286
8 11 9.00642
8 12 9.00018
8 13 8.99412
8 14 8.98825
8 15 8.98257
8 16 8.97708
8 17 8.97178
8 18 8.96667
8 19 8.96176
8 20 8.95703
8 21 8.9525
8 22 8.94815
8 23 8.944
8 24 8.94005
8 25 8.93628
8 26 8.93271
8 27 8.92933
8 28 8.92615
8 29 8.92316
8 30 8.92036
8 31 8.91776
8 32 8.91535
8 33 8.91314
8 34 8.91112
8 35 8.90929
8 36 8.90766
8 37 8.90623
8 38 8.90499
8 39 8.90394
8 40 8.90309
8 41 8.90244
8 42 8.90198
8 43 8.90171
8 44 8.90164
8 45 8.90177
8 46 8.90209
8 47 8.90261
9 0 9.08093
9 1 9.07263
9 2 9.06451
9 3 9.05657
9 4 9.04882
9 5 9.04126
9 6 9.03388
9 7 9.02669
9 8 9.01969
9 9 9.01287
9 10 9.00624
9 11 8.9998
9 12 8.99355
9 13 8.98749
9 14 8.98161
9 15 8.97593
9 16 8.97044
9 17 8.96513
9 18 8.96002
9 19 8.9551
9 20 8.95037
9 21 8.94584
9 22 8.94149
9 23 8.93734
9 24 8.93338
9 25 8.92961
9 26 8.92604
9 27 8.92266
9 28 8.91947
9 29 8.91648
9 30 8.91368
9 31 8.91107
9 32 8.90866
9 33 8.90645
9 34 8.90443
9 35 8.9026
9 36 8.90097
9 37 8.89953
9 38 8.89829
9 39 8.89724
9 40 8.89639
9 41 8.89574
9 42 8.89528
9 43 8.89501
9 44 8.89494
9 45 8.89507
9 46 8.89539
9 47 8.89591
10 0 8.94386
10 1 8.94388
10 2 8.9441
10 3 8.94451
10 4 8.94511
10 5 8.94591
10 6 8.94691
10 7 8.9481
10 8 8.94948
10 9 8.95106
10 10 8.95283
10 11 8.95479
10 12 8.95695
10 13 8.9593
10 14 8.96185
10 15 8.96459
10 16 8.96752
10 17 8.97064
10 18 8.97396
10 19 8.97747
10 20 8.98117
10 21 8.98506
10 22 8.98915
10 23 8.99342
10 24 8.99789
10 25 9.00255
10 26 9.0074
10 27 9.01244
10 28 9.01767
10 29 9.02309
10 30 9.02869
10 31 9.03449
10 32 9.04048
10 33 9.04665
10 34 9.05301
