1409;C 4Gev/nucl  (Target C - 12mm)
1411;C 4Gev/nucl  (Target C - 12mm)
1412;C 4Gev/nucl  (Target C - 12mm)
1413;C 4Gev/nucl  (Target C - 12mm)
1414;C 4Gev/nucl  (Target C - 12mm)
1415;C 4Gev/nucl  (Target C - 12mm)
1416;C 4Gev/nucl  (Target C - 12mm)
1417;C 4Gev/nucl  (Target C - 12mm)
1418;C 4Gev/nucl  (Target C - 12mm)
1420;C 4Gev/nucl  (Target C - 12mm)
1422;C 4Gev/nucl  (Target C - 12mm)
1422;
1426;C 4Gev/nucl  (Empty)
1431;C 4Gev/nucl  (Empty)
1443;C 4Gev/nucl  (Target Al - 12mm)
1446;C 4Gev/nucl  (Target Al - 12mm)
1448;C 4Gev/nucl  (Target Al - 12mm)
1451;C 4Gev/nucl  (Target Al - 12mm)
1461;C 4Gev/nucl  (Target Al - 12mm)
1462;C 4Gev/nucl  (Target Al - 12mm)
1463;C 4Gev/nucl  (Target Al - 12mm)
1463;C 4Gev/nucl  (Target Al - 12mm)
1464;C 4Gev/nucl  (Target Al - 12mm)
1465;C 4Gev/nucl  (Target Al - 12mm)
1468;C 4Gev/nucl  (Target Al - 12mm)
1469;C 4Gev/nucl  (Target Al - 12mm)
1470;C 4Gev/nucl  (Target Al - 12mm)
1471;C 4Gev/nucl  (Target Al - 12mm)
1471;C 4Gev/nucl  (Target Al - 12mm)
1472;C 4Gev/nucl  (Target Al - 12mm)
1473;C 4Gev/nucl  (Target Al - 12mm)
1474;C 4Gev/nucl  (Target Al - 12mm)
1475;C 4Gev/nucl  (Target Cu - 5mm)
1477;C 4Gev/nucl  (Target Cu - 5mm)
1479;C 4Gev/nucl  (Target Cu - 5mm)
1480;C 4Gev/nucl  (Target Cu - 5mm)
1481;C 4Gev/nucl  (Target Cu - 5mm)
1494;C 4Gev/nucl  (Target Cu - 5mm)
1495;C 4Gev/nucl  (Target Cu - 5mm)
1497;C 4Gev/nucl  (Target Cu - 5mm)
1498;C 4Gev/nucl  (Target Cu - 5mm)
1500;C 4Gev/nucl  (Target Cu - 5mm)
1502;C 4Gev/nucl  (Target Cu - 5mm)
1503;C 4Gev/nucl  (Target Cu - 5mm)
1504;C 4Gev/nucl  (Target Cu - 5mm)
1505;C 4Gev/nucl  (Target Cu - 5mm)
1506;C 4Gev/nucl  (Target Cu - 5mm)
1508;C 4Gev/nucl  (Target Cu - 5mm)
1509;C 4Gev/nucl  (Target Cu - 5mm)
1510;C 4Gev/nucl  (Target Cu - 5mm)
1514;C 4Gev/nucl  (Target Cu - 5mm)
1516;C 4Gev/nucl  (Target Pb - 9.9mm)
1518;C 4Gev/nucl  (Target Pb - 9.9mm)
1519;C 4Gev/nucl  (Target Pb - 9.9mm)
1520;C 4Gev/nucl  (Target Pb - 9.9mm)
1521;C 4Gev/nucl  (Target Pb - 9.9mm)
1523;C 4Gev/nucl  (Target Pb - 9.9mm)
1525;C 4Gev/nucl  (Target Pb - 9.9mm)
1526;C 4Gev/nucl  (Target Pb - 9.9mm)
1527;C 4Gev/nucl  (Target Pb - 9.9mm)
1528;C 4Gev/nucl  (Target CH2 - 20mm)
1529;C 4Gev/nucl  (Target CH2 - 20mm)
1530;C 4Gev/nucl  (Target CH2 - 20mm)
1531;C 4Gev/nucl  (Target CH2 - 20mm)
1532;C 4Gev/nucl  (Target CH2 - 20mm)
1534;C 4Gev/nucl  (Target CH2 - 20mm)
1535;C 4Gev/nucl  (Target CH2 - 20mm)
1536;C 4Gev/nucl  (Target CH2 - 20mm)
1537;C 4Gev/nucl  (Target C - 9mm)
1538;C 4Gev/nucl  (Target C - 9mm)
1539;C 4Gev/nucl  (Target C - 12mm)
1540;C 4Gev/nucl  (Target C - 12mm)
1541;C 4Gev/nucl  (Target C - 12mm)
1542;C 4Gev/nucl  (Target C - 12mm)
1543;C 4Gev/nucl  (Target C - 12mm)
1544;C 4Gev/nucl  (Target C - 12mm)
1545;C 4Gev/nucl  (Target C - 12mm)
1546;C 4Gev/nucl  (Target C - 12mm)
1547;C 4Gev/nucl  (Target C - 12mm)
1549;C 4Gev/nucl  (Target Al - 12mm)
1551;C 4Gev/nucl  (Target Al - 12mm)
1552;C 4Gev/nucl  (Target Al - 12mm)
1553;C 4Gev/nucl  (Target Al - 12mm)
1554;C 4Gev/nucl  (Target Al - 12mm)
1555;C 4Gev/nucl  (Target Al - 12mm)
None;
None;
None;
None;
1556;4.0 GeV C, target Al
